ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
005490.KS,2018-12-31,18192003849.975906,13190078701.493658,7748660920.394605,2944691849.3187838,-2862699803.5885806,5259157485.151704,81007363.47061163
005490.KS,2019-12-31,18300776870.890663,16113689669.668877,8216627399.635241,2760964272.070634,-1310505360.4158573,5203836691.918007,44891628.35189578
005490.KS,2020-12-31,19506189178.291378,17628875891.839478,6859839862.424434,4765253641.466569,-1001949193.7124703,7977745413.696773,56548552.170652784
005490.KS,2021-12-31,18943596828.531548,21996597276.696053,7795345493.396591,2312118971.6126156,-646616194.2393248,5265494733.284458,
2330.TW,2018-12-31,5904138690.0,19451353020.0,4088337120.0,8216597670.0,-8015580960.0,18768305610.0,5935050.0
2330.TW,2019-12-31,6361500940.0,7489953340.0,4541665200.0,4855912440.0,-9005915880.0,20545632580.0,9595820.0
2330.TW,2020-12-31,13093405880.0,16386213640.0,5082668853.2,10722424520.0,-3154697560.0,29286916720.0,21598520.0
2330.TW,2021-12-31,27206111590.0,30638795610.0,7132858210.0,9484347230.0,4931566850.0,40149001270.0,14093440.0
2412.TW,2018-12-31,55590000.0,931001700.0,983485200.0,1220298600.0,-1145644500.0,2170168200.0,8632800.0
2412.TW,2019-12-31,382363200.0,932828600.0,882027200.0,1599793200.0,-1300395600.0,2419061800.0,1603200.0
2412.TW,2020-12-31,1361450800.0,305448000.0,805343200.0,118904000.0,-348951200.0,2650633600.0,11356400.0
2412.TW,2021-12-31,1404831500.0,894991200.0,864486700.0,1417610900.0,-1238735400.0,2702373800.0,974700.0
4502.T,2019-03-31,51917986729.60989,4872505299.316958,5967315198.875005,1754673182.0007904,26597808513.45902,2965417087.1835856,457858975.49216205
4502.T,2020-03-31,46932076218.67102,2704759044.5752654,6589808245.584506,4165325611.4381714,-9262500948.696358,6171406990.74851,115899552.5651805
4502.T,2021-03-31,41836444442.30581,8481396216.611418,7114640828.265654,6989899680.548004,-9822916365.175795,9124136690.78584,419260584.250631
4502.T,2022-03-31,35687214256.861664,3678531561.7370653,5721273244.063022,7695784469.926745,-8789680968.410135,9223635869.645615,14905907.375896992
6758.T,2019-03-31,12272745668.943258,-7521925034.150205,9621764138.208044,8541073595.82155,-1109362587.3844833,11363536705.504133,158752490.9602238
6758.T,2020-03-31,17127176629.100035,-4656051209.419667,9241372178.301067,8385016571.909143,605003404.5416299,12437179327.16565,172844952.0605546
6758.T,2021-03-31,22170927141.86723,-5385322915.864778,,7562548283.426914,6019696770.841293,12185750712.031288,142810157.03178984
6758.T,2022-03-31,29333191404.157677,-26485226856.550964,13374425997.632587,6508888249.6115885,-2764187599.3193707,10131442585.632889,93697794.62898555
7267.T,2019-03-31,66183313137.80585,12333402932.904688,7161195319.40533,1518291309.7629457,206951498.5938112,7005403921.253463,187460646.84612152
7267.T,2020-03-31,68829167212.78366,13922339303.616444,5841132888.141278,3484514795.626567,-805445682.0857841,9024786156.433952,162524750.21026027
7267.T,2021-03-31,69685589350.31877,16820189862.212137,7236755561.542536,4704458817.642938,-2563055576.9378552,9678734335.308966,61102494.03433087
7267.T,2022-03-31,66543222723.9771,23299419712.954018,7364815837.833826,10104776204.77915,-5056658665.384322,13794099150.699095,222627733.96463674
7751.T,2018-12-31,3643702065.951514,9284890067.540684,5576727731.426277,1582110687.3261752,-3228290425.109243,3323484187.5248165,87651410.40921694
7751.T,2019-12-31,4744057211.743467,8157566244.05443,5157616552.402806,1315485369.8540227,-2142788305.7241206,3302403537.8054686,8153263.900278802
7751.T,2020-12-31,4910456646.375201,4491191820.697282,5191344095.185383,1640330702.8223553,-1779668494.742665,3238296430.547865,75814582.18040942
7751.T,2021-12-31,2788247849.363398,7101657395.3060255,4538322466.635985,2377417570.1794744,-2322585761.6198792,3918041975.763152,32975529.989262145
A,2018-10-31,1799000000.0,2677000000.0,776000000.0,910000000.0,-797000000.0,1087000000.0,1000000.0
A,2019-10-31,2407000000.0,1109000000.0,930000000.0,865000000.0,-299000000.0,1021000000.0,0.0
A,2020-10-31,2359000000.0,1948000000.0,1038000000.0,802000000.0,-717000000.0,921000000.0,1000000.0
A,2021-10-31,2729000000.0,2091000000.0,1172000000.0,1296000000.0,-696000000.0,1485000000.0,1000000.0
AA,2018-12-31,1802000000.0,1215000000.0,830000000.0,49000000.0,-288000000.0,448000000.0,
AA,2019-12-31,1900000000.0,967000000.0,546000000.0,307000000.0,-444000000.0,686000000.0,
AA,2020-12-31,2547000000.0,1759000000.0,471000000.0,41000000.0,514000000.0,394000000.0,
AA,2021-12-31,1866000000.0,1803000000.0,757000000.0,530000000.0,-1158000000.0,920000000.0,
AAL,2018-12-31,34029000000.0,-9459000000.0,1706000000.0,-212000000.0,-1672000000.0,3533000000.0,1207000000.0
AAL,2019-12-31,33444000000.0,-10105000000.0,1750000000.0,-453000000.0,-1568000000.0,3815000000.0,904000000.0
AAL,2020-12-31,41021000000.0,-5474000000.0,1342000000.0,-8501000000.0,10994000000.0,-6543000000.0,1016000000.0
AAL,2021-12-31,46177000000.0,-1670000000.0,1505000000.0,292000000.0,5288000000.0,704000000.0,374000000.0
AAP,2018-12-31,1045720000.0,2196504000.0,625933000.0,617313000.0,-263915000.0,811028000.0,1888000.0
AAP,2019-12-31,2764479000.0,1217841000.0,671412000.0,395261000.0,-882153000.0,866909000.0,8709000.0
AAP,2020-12-31,3047483000.0,1526086000.0,727583000.0,701882000.0,-285997000.0,969688000.0,909000.0
AAP,2021-12-31,3371971000.0,1095169000.0,708658000.0,822623000.0,-1064112000.0,1112262000.0,2325000.0
ABBN.SW,2018-12-31,8756420267.991837,3472899103.735913,6065888721.270743,2186564912.592067,-801672730.4996006,2970964593.1316,73156446.8896974
