ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
005490.KS,2018-12-31,20304024000000.0,14721395000000.0,8648250000000.0,3286559000000.0,-3195048000000.0,5869725000000.0,90412000000.0
005490.KS,2019-12-31,21117083000000.0,18593425000000.0,9481084000000.0,3185849000000.0,-1512179000000.0,6004655000000.0,51800000000.0
005490.KS,2020-12-31,21237282000000.0,19193365000000.0,7468622000000.0,5188150000000.0,-1090868000000.0,8685737000000.0,61567000000.0
005490.KS,2021-12-31,22519230000000.0,26148489000000.0,9266729000000.0,2748535000000.0,-768666000000.0,6259365000000.0,
2330.TW,2018-12-31,180554700000.0,594842600000.0,125025600000.0,251272100000.0,-245124800000.0,573954300000.0,181500000.0
2330.TW,2019-12-31,190464100000.0,224250100000.0,135978000000.0,145386600000.0,-269638200000.0,615138700000.0,287300000.0
2330.TW,2020-12-31,367792300000.0,460286900000.0,142771597000.0,301191700000.0,-88615100000.0,822666200000.0,606700000.0
2330.TW,2021-12-31,753631900000.0,848720100000.0,197586100000.0,262724300000.0,136608500000.0,1112160700000.0,390400000.0
2412.TW,2018-12-31,1700000000.0,28471000000.0,30076000000.0,37318000000.0,-35035000000.0,66366000000.0,264000000.0
2412.TW,2019-12-31,11448000000.0,27929000000.0,26408000000.0,47898000000.0,-38934000000.0,72427000000.0,48000000.0
2412.TW,2020-12-31,38243000000.0,8580000000.0,22622000000.0,3340000000.0,-9802000000.0,74456000000.0,319000000.0
2412.TW,2021-12-31,38915000000.0,24792000000.0,23947000000.0,39269000000.0,-34314000000.0,74858000000.0,27000000.0
4502.T,2019-03-31,5750951000000.0,539727000000.0,660999000000.0,194365000000.0,2946237000000.0,328479000000.0,50717000000.0
4502.T,2020-03-31,5093304000000.0,293534000000.0,715159000000.0,452042000000.0,-1005213000000.0,669752000000.0,12578000000.0
4502.T,2021-03-31,4635371000000.0,939717000000.0,788284000000.0,774463000000.0,-1088354000000.0,1010931000000.0,46453000000.0
4502.T,2022-03-31,4345411000000.0,447912000000.0,696644000000.0,937068000000.0,-1070265000000.0,1123105000000.0,1815000000.0
6758.T,2019-03-31,1359451000000.0,-833203000000.0,1065802000000.0,946094000000.0,-122884000000.0,1258738000000.0,17585000000.0
6758.T,2020-03-31,1858727000000.0,-505298000000.0,1002920000000.0,909984000000.0,65658000000.0,1349745000000.0,18758000000.0
6758.T,2021-03-31,2456482000000.0,-596680000000.0,,837911000000.0,666967000000.0,1350150000000.0,15823000000.0
6758.T,2022-03-31,3571721000000.0,-3224942000000.0,1628521000000.0,792547000000.0,-336578000000.0,1233643000000.0,11409000000.0
7267.T,2019-03-31,7331120000000.0,1366170000000.0,793245000000.0,168181000000.0,22924000000.0,775988000000.0,20765000000.0
7267.T,2020-03-31,7469686000000.0,1510922000000.0,633909000000.0,378157000000.0,-87411000000.0,979415000000.0,17638000000.0
7267.T,2021-03-31,7720985000000.0,1863634000000.0,801814000000.0,521242000000.0,-283980000000.0,1072379000000.0,6770000000.0
7267.T,2022-03-31,8102556000000.0,2837026000000.0,896768000000.0,1230396000000.0,-615718000000.0,1679622000000.0,27108000000.0
7751.T,2018-12-31,400489000000.0,1020527000000.0,612953000000.0,173894000000.0,-354830000000.0,365293000000.0,9634000000.0
7751.T,2019-12-31,514946000000.0,885467000000.0,559836000000.0,142790000000.0,-232590000000.0,358461000000.0,885000000.0
7751.T,2020-12-31,506172000000.0,462954000000.0,535126000000.0,169086000000.0,-183449000000.0,333805000000.0,7815000000.0
7751.T,2021-12-31,320971000000.0,817512000000.0,522432000000.0,273678000000.0,-267366000000.0,451028000000.0,3796000000.0
A,2018-10-31,1799000000.0,2677000000.0,776000000.0,910000000.0,-797000000.0,1087000000.0,1000000.0
