ticker,date,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow
A,2018-10-31,1799000000.0,2677000000,776000000.0,910000000,-797000000,1087000000
A,2019-10-31,2407000000.0,1109000000,930000000.0,865000000,-299000000,1021000000
A,2020-10-31,2359000000.0,1948000000,1038000000.0,802000000,-717000000,921000000
A,2021-10-31,2729000000.0,2091000000,1172000000.0,1296000000,-696000000,1485000000
ABT,2018-12-31,19566000000.0,5620000000,5182000000.0,4906000000,-10391000000,6300000000
ABT,2019-12-31,18894000000.0,4804000000,5425000000.0,4498000000,-4289000000,6136000000
ABT,2020-12-31,19649000000.0,8534000000,6414000000.0,5724000000,-2779000000,7901000000
ABT,2021-12-31,19006000000.0,11134000000,6487000000.0,8648000000,-5494000000,10533000000
ADI,2018-10-31,6332674000.0,705988000,639717000.0,2187485000,-2358042000,2442361000
ADI,2019-10-31,5491919000.0,476494000,635136000.0,1977728000,-2126794000,2253100000
ADI,2020-10-31,5145102000.0,1152702000,737536000.0,1842795000,-1420608000,2008487000
ADI,2021-10-31,6822451000.0,2608005000,1459056000.0,2391393000,-3959664000,2735069000
AEP,2018-12-31,25256700000.0,-4534900000,699000000.0,-1133800000,1161900000,5223200000
AEP,2019-12-31,30532500000.0,-6221300000,625300000.0,-1873600000,2862900000,4270100000
AEP,2020-12-31,34431500000.0,-5575200000,613600000.0,-2483100000,2406700000,3832900000
AEP,2021-12-31,36658900000.0,-4617500000,720900000.0,-1924200000,2607100000,3839900000
AGCO,2018-12-31,1459500000.0,770700000,880300000.0,392600000,-413300000,595900000
AGCO,2019-12-31,1493800000.0,844600000,800500000.0,422500000,-313400000,695900000
AGCO,2020-12-31,1742300000.0,1005600000,856000000.0,626600000,22700000,896500000
AGCO,2021-12-31,1619600000.0,1559500000,991500000.0,390400000,-539500000,660200000
AMAT,2018-10-31,5309000000.0,6679000000,2565000000.0,3165000000,-5928000000,3787000000
AMAT,2019-10-31,5313000000.0,5759000000,2533000000.0,2806000000,-3115000000,3247000000
AMAT,2020-10-31,5707000000.0,8910000000,2963000000.0,3382000000,-1337000000,3804000000
AMAT,2021-10-31,5753000000.0,9763000000,4953000000.0,4774000000,-4591000000,5442000000
AMD,2018-12-31,1250000000.0,1556000000,1235000000.0,-129000000,28000000,34000000
AMD,2019-12-31,728000000.0,2238000000,1859000000.0,276000000,43000000,493000000
AMD,2020-12-31,531000000.0,3726000000,2066000000.0,777000000,6000000,1071000000
AMD,2021-12-31,661000000.0,4343000000,2706000000.0,3220000000,-1895000000,3521000000
AMGN,2018-12-31,33929000000.0,24130000000,3580000000.0,10558000000,-22490000000,11296000000
AMGN,2019-12-31,29903000000.0,5605000000,4057000000.0,8532000000,-15767000000,9150000000
AMGN,2020-12-31,32986000000.0,9491000000,4525000000.0,9889000000,-4867000000,10497000000
AMGN,2021-12-31,33309000000.0,7201000000,4895000000.0,8381000000,-8271000000,9261000000
AMKR,2018-12-31,1332311000.0,512785000,724456000.0,116288000,-40623000,663410000
AMKR,2019-12-31,1591434000.0,941730000,850753000.0,91417000,108250000,563850000
AMKR,2020-12-31,1301148000.0,816945000,962643000.0,217012000,-333719000,770033000
AMKR,2021-12-31,1317085000.0,1176828000,1258767000.0,341516000,-30102000,1121295000
AMZN,2018-12-31,39787000000.0,6710000000,16677000000.0,17296000000,-7686000000,30723000000
AMZN,2019-12-31,63205000000.0,8522000000,20816000000.0,21653000000,-10066000000,38514000000
AMZN,2020-12-31,84389000000.0,6348000000,24542000000.0,25924000000,-1104000000,66064000000
AMZN,2021-12-31,116395000000.0,19314000000,32891000000.0,-14726000000,6291000000,46327000000
ANF,2019-01-31,296776000.0,777033000,73112000.0,200540000,-131691000,352933000
ANF,2020-01-31,1767426000.0,449395000,80251000.0,97901000,-147873000,300685000
ANF,2021-01-31,1550344000.0,702230000,83857000.0,303008000,69717000,404918000
ANF,2022-01-31,1223661000.0,492519000,69102000.0,180803000,-446898000,277782000
APH,2018-12-31,3570700000.0,2120300000,1791800000.0,802100000,-1070100000,1112700000
APH,2019-12-31,3606700000.0,2078500000,1736400000.0,1207300000,-648400000,1502300000
APH,2020-12-31,3866500000.0,3186500000,1951600000.0,1315200000,-516600000,1592000000
APH,2021-12-31,4799900000.0,3511100000,2454800000.0,1179700000,-145200000,1540100000
ARW,2018-12-31,3485372000.0,4817872000,8945463000.0,117354000,-36833000,272690000
