ticker,date,exchange_rate
005490.KS,2017-12-31,0.0009372386899133
005490.KS,2018-12-31,0.0008959802180088
005490.KS,2019-12-31,0.0008666337519671
005490.KS,2020-12-31,0.000918488023952
2330.TW,2017-12-31,0.0337
2330.TW,2018-12-31,0.0327
2330.TW,2019-12-31,0.0334
2330.TW,2020-12-31,0.0356
2412.TW,2017-12-31,0.0337
2412.TW,2018-12-31,0.0327
2412.TW,2019-12-31,0.0334
2412.TW,2020-12-31,0.0356
4502.T,2018-03-31,0.0093945863515059
4502.T,2019-03-31,0.0090277219766974
4502.T,2020-03-31,0.0092144659377628
4502.T,2021-03-31,0.0090254791778923
6758.T,2018-03-31,0.0093945863515059
6758.T,2019-03-31,0.0090277219766974
6758.T,2020-03-31,0.0092144659377628
6758.T,2021-03-31,0.0090254791778923
7267.T,2018-03-31,0.0093945863515059
7267.T,2019-03-31,0.0090277219766974
7267.T,2020-03-31,0.0092144659377628
7267.T,2021-03-31,0.0090254791778923
7751.T,2017-12-31,0.0088830457003184
7751.T,2018-12-31,0.0090981326976559
7751.T,2019-12-31,0.0092127275709365
7751.T,2020-12-31,0.0097011621472053
A,2018-10-31,1.0
A,2019-10-31,1.0
A,2020-10-31,1.0
A,2021-10-31,1.0
AA,2018-12-31,1.0
AA,2019-12-31,1.0
AA,2020-12-31,1.0
AA,2021-12-31,1.0
AAL,2018-12-31,1.0
AAL,2019-12-31,1.0
AAL,2020-12-31,1.0
AAL,2021-12-31,1.0
AAP,2017-12-30,1.0
AAP,2018-12-29,1.0
AAP,2019-12-28,1.0
AAP,2021-01-02,1.0
ABBN.SW,2017-12-31,1.0248675440095711
ABBN.SW,2018-12-31,1.0160617623569084
ABBN.SW,2019-12-31,1.035010134512622
ABBN.SW,2020-12-31,1.1359933345676727
ABEV3.SA,2018-12-31,0.2576507650765076
ABEV3.SA,2019-12-31,0.2487764909094935
ABEV3.SA,2020-12-31,0.1925315760571115
ABEV3.SA,2021-12-31,0.1794900239298901
ABT,2017-12-31,1.0
ABT,2018-12-31,1.0
ABT,2019-12-31,1.0
ABT,2020-12-31,1.0
ABX.TO,2017-12-31,0.7974599374958442
ABX.TO,2018-12-31,0.7337391861582826
ABX.TO,2019-12-31,0.7695574736265242
ABX.TO,2020-12-31,0.7849421096398644
ACA,2018-12-31,1.0
ACA,2019-12-31,1.0
ACA,2020-12-31,1.0
ACA,2021-12-31,1.0
ADI,2018-11-03,1.0
ADI,2019-11-02,1.0
ADI,2020-10-31,1.0
ADI,2021-10-30,1.0
ADM,2017-12-31,1.0
ADM,2018-12-31,1.0
ADM,2019-12-31,1.0
ADM,2020-12-31,1.0
AGCO,2017-12-31,1.0
AGCO,2018-12-31,1.0
AGCO,2019-12-31,1.0
AGCO,2020-12-31,1.0
AGR,2017-12-31,1.0
AGR,2018-12-31,1.0
AGR,2019-12-31,1.0
AGR,2020-12-31,1.0
AIMC,2017-12-31,1.0
AIMC,2018-12-31,1.0
AIMC,2019-12-31,1.0
AIMC,2020-12-31,1.0
AIR,2018-05-31,1.0
AIR,2019-05-31,1.0
AIR,2020-05-31,1.0
AIR,2021-05-31,1.0
ALB,2018-12-31,1.0
ALB,2019-12-31,1.0
ALB,2020-12-31,1.0
ALB,2021-12-31,1.0
ALC,2017-12-31,1.0
ALC,2018-12-31,1.0
ALC,2019-12-31,1.0
ALC,2020-12-31,1.0
ALKS,2017-12-31,1.0
ALKS,2018-12-31,1.0
ALKS,2019-12-31,1.0
ALKS,2020-12-31,1.0
AMAT,2018-10-28,1.0
AMAT,2019-10-27,1.0
AMAT,2020-10-25,1.0
AMAT,2021-10-31,1.0
AMD,2018-12-29,1.0
AMD,2019-12-28,1.0
AMD,2020-12-26,1.0
AMD,2021-12-25,1.0
AME,2017-12-31,1.0
AME,2018-12-31,1.0
AME,2019-12-31,1.0
AME,2020-12-31,1.0
