ticker,date,exchange_rate
005490.KS,2020-12-31,0.000918488023952
005490.KS,2021-03-31,0.0008854469524766
005490.KS,2021-06-30,0.0008859334580776
005490.KS,2021-09-30,0.000844208868604
2330.TW,2020-12-31,0.0356
2330.TW,2021-03-31,0.0352
2330.TW,2021-06-30,0.0359
2330.TW,2021-09-30,0.036
2412.TW,2020-12-31,0.0356
2412.TW,2021-03-31,0.0352
2412.TW,2021-06-30,0.0359
2412.TW,2021-09-30,0.036
4502.T,2020-12-31,0.0097011621472053
4502.T,2021-03-31,0.0090254791778923
4502.T,2021-06-30,0.0090420756296127
4502.T,2021-09-30,0.0089295904989588
6758.T,2021-03-31,0.0090254791778923
6758.T,2021-06-30,0.0090420756296127
6758.T,2021-09-30,0.0089295904989588
6758.T,2021-12-31,0.0086869151710385
7267.T,2020-12-31,0.0097011621472053
7267.T,2021-03-31,0.0090254791778923
7267.T,2021-06-30,0.0090420756296127
7267.T,2021-09-30,0.0089295904989588
7751.T,2020-12-31,0.0097011621472053
7751.T,2021-03-31,0.0090254791778923
7751.T,2021-06-30,0.0090420756296127
7751.T,2021-09-30,0.0089295904989588
A,2021-01-31,1.0
A,2021-04-30,1.0
A,2021-07-31,1.0
A,2021-10-31,1.0
AA,2021-03-31,1.0
AA,2021-06-30,1.0
AA,2021-09-30,1.0
AA,2021-12-31,1.0
AAL,2021-03-31,1.0
AAL,2021-06-30,1.0
AAL,2021-09-30,1.0
AAL,2021-12-31,1.0
AAP,2021-01-02,1.0
AAP,2021-04-24,1.0
AAP,2021-07-17,1.0
AAP,2021-10-09,1.0
ABBN.SW,2020-12-31,1.1359933345676727
ABBN.SW,2021-03-31,1.0591689250225838
ABBN.SW,2021-06-30,1.0823315118397083
ABBN.SW,2021-09-30,1.0691597414589105
ABEV3.SA,2021-03-31,0.17393819816345
ABEV3.SA,2021-06-30,0.2012531752751905
ABEV3.SA,2021-09-30,0.1848764988583928
ABEV3.SA,2021-12-31,0.1794900239298901
ABT,2020-12-31,1.0
ABT,2021-03-31,1.0
ABT,2021-06-30,1.0
ABT,2021-09-30,1.0
