ticker,date,shortTermInvestments,grossProfit,totalOtherIncomeExpenseNet,totalCurrentAssets,effectOfAccountingCharges,otherCashflowsFromInvestingActivities,incomeBeforeTax,totalStockholderEquity,incomeTaxExpense,totalRevenue,changeToNetincome,shortLongTermDebt,totalCashflowsFromInvestingActivities,treasuryStock,retainedEarnings,cash,depreciation,totalOperatingExpenses,netTangibleAssets,goodWill,propertyPlantEquipment,otherCashflowsFromFinancingActivities,operatingIncome,dividendsPaid,netIncome,changeInCash,changeToAccountReceivables,repurchaseOfStock,issuanceOfStock,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,investments,otherOperatingExpenses,netBorrowings,extraordinaryItems,nonRecurring,netReceivables,sellingGeneralAdministrative,minorityInterest,longTermDebt,costOfRevenue,discontinuedOperations,otherStockholderEquity,researchDevelopment,totalCashFromOperatingActivities,otherCurrentLiab,changeToInventory,deferredLongTermLiab,otherAssets,otherItems,changeToOperatingActivities,intangibleAssets,otherCurrentAssets,capitalSurplus,ebit,interestExpense,inventory,effectOfExchangeRate,changeToLiabilities,totalCashFromFinancingActivities,otherLiab,longTermInvestments,totalLiab,commonStock,accountsPayable,totalAssets,totalCurrentLiabilities,deferredLongTermAssetCharges,capitalExpenditures,name,currency,sector,subsector,longitude,latitude,date2,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE
005490.KS,2018-12-31,7198133381.065384,7121383462.8974495,-1717307866.6381748,30131050996.44055,,93795515.31104876,3192217288.8559227,38859790667.03484,1496965009.478161,58218803191.212845,2655697900.887574,2510392318.0455585,-2372528332.897704,-2452936338.286104,39616677453.204735,2368850615.71832,2927730774.4247365,53309278035.71874,34315681599.797256,1008111246.3123832,26895778636.41532,-1086123142.931837,4909525155.494098,-648630191.3821491,1514755294.4151292,28075203.108346745,-36297054.6117545,-791346996.3241237,,1498877641.24762,1695252279.3777618,-1009197622.3535984,64486384.23074736,-1127946398.2054434,,,9446674703.58302,1735290061.7482746,3035841915.8286853,8887811065.55121,51097419728.31539,,-1079641935.6995163,97081248.5816895,5259157058.351527,3462777770.06561,-1408982651.631919,88848086.35840663,5236233202.349594,,-733988524.9270214,3535997820.9252024,702788545.0237797,1263825895.0105877,4909525155.494098,-664186551.6890514,10303708279.467096,4146209.9141188753,340241319.9470977,-2862699732.5194297,2281591988.80511,3301725825.253103,28213265144.841583,432223657.1056264,3589417562.459636,70108897727.69615,16968060372.081282,1237376371.401509,-1952928791.466684,POSCO Holdings Inc.,KRW,Basic Materials,Steel,,,2018,18192003849.975903,13190078701.493658,7748660920.394605,2944691849.318784,-2862699803.5885806,5259157485.151704,81007363.47061163
005490.KS,2019-12-31,7755079334.670608,5398469092.445406,-637195146.987325,30131633301.107235,,69360991.01758955,2646073769.059932,38540825659.92984,927853446.6753172,55782482818.10768,649319060.1251415,2653527685.8392725,-3191689639.3228683,-2137898478.76261,39067951416.53555,3046107038.4342613,2999519183.6836123,52499213902.060425,34368734707.10192,951398332.61325,25934858089.068043,-90076783.94364405,3283268916.047257,-820024267.7366041,1590347916.6184924,755168363.8973985,372831039.89875823,-765427631.9363276,,1584567469.4937384,1718220322.3846147,-889048987.8637425,68405135.31026714,-400403914.4692501,,,9150646486.91122,1694905993.480139,2879680435.89696,10307223164.729502,50384013725.66228,,-830751768.9093993,95602702.34825064,5203836704.822184,2933189272.6044493,688005802.9128972,81757361.52682425,4842769268.778434,,-461168216.7912437,3220692620.214672,589498086.5709094,1192705891.9774938,3283268916.047257,-654924659.3328091,9463917687.935863,53526264.547581226,-635018082.0501249,-1310504966.1494982,2184410028.014671,3433552509.4904394,27094398025.453938,418066830.179404,2966419985.1152515,68514904121.27207,14146660688.851992,1072273189.9458556,-2200004790.0985126,POSCO Holdings Inc.,KRW,Basic Materials,Steel,,,2019,18300776870.890663,16113689669.668877,8216627399.635241,2760964272.070634,-1310505360.4158573,5203836691.918007,44891628.35189578
005490.KS,2020-12-31,10663540498.206297,4322931624.158712,-298365143.4177585,32879610910.514557,,29610862.2458502,1860017535.27308,40717814452.80969,217620953.71469736,53081990751.299416,604607201.2125919,3199216864.820025,-5749060578.764453,-3281810292.79943,42352821267.5773,4367083538.2171,3326524456.683989,50923608072.60858,36839663123.16392,830214895.4340451,27003677715.71776,-122202612.21664669,2158382678.6908383,-605416467.0035536,1471553435.529702,1139229583.4469523,750218262.4999217,-811226324.314848,,1465410335.98551,1642396581.5583825,-2590402564.042788,54442459.13173085,536896556.5426221,,,8738457051.926409,1713371079.7039237,3070727424.133092,10856599803.202684,48759059127.14071,,-1085225279.3921082,106795358.00897089,7977745611.75953,3129151093.439407,1577856799.0267816,208598733.60776263,5284152171.263837,,-298976683.97721434,3047936434.211733,629417698.6375107,1203721985.0023077,2158382678.6908383,-586727394.2364657,8313961080.488332,-87506602.56488383,545962140.269404,-1001948846.9924262,2059441218.906357,3594845631.9005613,28851895882.099705,443081493.0295196,3449393632.973118,72640437759.0425,15481086640.155382,1226323363.6429193,-2937249574.1197205,POSCO Holdings Inc.,KRW,Basic Materials,Steel,,,2020,19506189178.291374,17628875891.839478,6859839862.424434,4765253641.466569,-1001949193.7124704,7977745413.696773,56548552.170652784
2330.TW,2018-12-31,4326620679.3,16369034244.9,322473698.7,31119926876.7,,587352200.7,12998585600.1,54831937645.5,1514855523.9,33729185313.9,-263499739.2,1146262235.7,-10276593291.6,-505212155.1,45016384400.7,18894537452.7,9473550909.9,21053073412.5,54275967765.6,189512457.6,35056044123.3,-117060179.4,12676111901.4,-6783387538.8,11481979906.8,798628993.5,-414359881.2,,,11481979906.8,11483730076.2,-318187480.8,25640887.5,-1115132947.5,,,4226894573.7,858496349.7,22194503.7,1860630000.0,17360151069.0,,-505212155.1,2808785106.3,18768305871.6,3804834758.1,-960398182.5,,656979133.5,,-805856936.1,366457422.3,184410570.9,1841530976.4,12676111901.4,-99774992.1,3375652915.2,322497079.2,148477064.1,-8015580665.7,496682131.2,958266829.2,13493054693.4,8479234423.5,1123257720.3,68347186842.6,11135742562.2,549568854.9,-10319527508.7,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,,,2018,5904138690.0,19451353020.0,4088337120.0,8216597670.0,-8015580960.0,18768305610.0,5935050.0
2330.TW,2019-12-31,4630011039.0,16569689933.4,469124042.0,27475304727.6,,716331937.6,13020834222.4,54155098141.6,1486351001.8,35737513963.2,-929563750.0,1062120000.0,-15323975009.8,-920783524.6,44533388298.6,15210337822.4,9456772393.2,23185803782.8,53465287006.4,190158758.4,45744967553.8,-143889671.6,12551710180.4,-8660747087.0,11531806511.2,-4088669851.0,-614466814.0,,,11531806511.2,11534483220.6,-360185934.0,26526714.2,-201277985.8,,,4670065220.8,938066922.4,22889086.8,838340000.0,19167824029.8,,-920783524.6,3053386116.4,20545634049.6,11084470257.8,676342652.0,,726658549.6,,75507279.8,499652376.8,187070761.4,1881746280.6,12551710180.4,-108578289.8,2771571946.4,-304414146.4,195726271.2,-9005914744.4,395191204.8,1007746102.6,21466500840.4,8660747087.0,1342879264.4,75644488068.8,19730572413.4,598807157.1999999,-15378099810.0,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,,,2019,6361500940.0,7489953340.0,4541665200.0,4855912440.0,-9005915880.0,20545632580.0,9595820.0
2330.TW,2020-12-31,4969303643.6,25316815471.2,640567959.2,38881796964.8,,357235391.2,20818067608.0,65847798313.6,2371639888.8,47677471271.6,49583252.8,92601616.4,-18005829018.4,-1946603478.8,56557224483.6,23502075033.2,11678773450.4,27499971622.8,64930451141.2,193543031.2,56366103071.2,-72445466.0,20177499648.8,-9231215458.0,18436719777.2,7289858671.6,-276924176.4,,,18436719777.2,18446427719.2,12743411.6,-24697322.0,6148963826.8,,,5200770108.8,1266308376.0,34344850.8,9116187942.0,22360655800.4,,-1946603478.8,3897704768.4,29286917147.2,13831118229.2,-1935650711.6,,1128954604.8,,1294949608.4,723804141.2,319865216.8,2005961850.8,20177499648.8,-74099798.0,4889781289.2,-836532360.0,14404009.2,-3154697097.2,580458498.4,987124204.8,32399182853.6,9231215458.0,1462982071.2,98281326018.0,21970577308.8,924111350.4,-18057698503.2,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,,,2020,13093405880.0,16386213640.0,5082668853.2,10722424520.0,-3154697560.0,29286916720.0,21598520.0
2412.TW,2018-12-31,266733900.0,2483172600.0,47480400.0,2998230300.0,,23118900.0,1471042200.0,12251774400.0,209443500.0,7046294100.0,-110329800.0,,-1066477800.0,15042000.0,4802845200.0,903991500.0,1028807400.0,5622732300.0,10585905600.0,6834300.0,9447487800.0,69978000.0,1423561800.0,-1216603500.0,1228113900.0,-38586000.0,134233500.0,,,1228113900.0,1261598700.0,-148163700.0,-3270000.0,981000.0,,,1143486300.0,907719300.0,322323900.0,52320000.0,4563121500.0,,15042000.0,121807500.0,2170168200.0,970274400.0,-221640600.0,43654500.0,828192900.0,,-89401800.0,1659034500.0,49115400.0,4897217400.0,1423561800.0,-588600.0,573656100.0,3368100.0,121578600.0,-1145644500.0,579084300.0,332951400.0,2698632900.0,2536669800.0,669205500.0,15272731200.0,2067228600.0,116215800.0,-933585000.0,"Chunghwa Telecom Co., Ltd.",TWD,Communication Services,Telecom Services,,,2018,55590000.0,931001700.0,983485200.0,1220298600.0,-1145644500.0,2170168200.0,8632800.0
2412.TW,2019-12-31,199030600.0,2390337800.0,38009200.0,3142004800.0,,-8784200.0,1398357800.0,12496843800.0,265396400.0,6931168000.0,-5644600.0,,-906041800.0,19605800.0,4884215600.0,1137270000.0,1161919200.0,5570819400.0,10925474000.0,6680000.0,9854937200.0,-15030000.0,1360348600.0,-1160516400.0,1100429800.0,213927000.0,140680800.0,,,1100429800.0,1132961400.0,-79558800.0,1469600.0,-124849200.0,,,1030924400.0,901065200.0,337841000.0,53440000.0,4540830200.0,,19605800.0,131629400.0,2419061800.0,1151665400.0,-90113200.0,31496200.0,864392000.0,,7915800.0,1564689800.0,54542200.0,5002050800.0,1360348600.0,-3473600.0,657312000.0,1302600.0,51736600.0,-1300395600.0,622776400.0,503371400.0,3101390400.0,2590971600.0,511420800.0,15936075200.0,2209176200.0,108850600.0,-807144400.0,"Chunghwa Telecom Co., Ltd.",TWD,Communication Services,Telecom Services,,,2019,382363200.0,932828600.0,882027200.0,1599793200.0,-1300395600.0,2419061800.0,1603200.0
2412.TW,2020-12-31,163617600.0,2512648000.0,73336000.0,2912186800.0,,15948800.0,1524605600.0,13389694000.0,289143200.0,7390880400.0,25204800.0,56960000.0,-2429842400.0,33001200.0,5262534400.0,1082952000.0,1281422000.0,5939610800.0,10175548000.0,8757600.0,10410330000.0,-11000400.0,1451269600.0,-1167074800.0,1189716400.0,-129228000.0,137700800.0,,,1189716400.0,1235462400.0,57209200.0,,829124000.0,,,1003314800.0,922716400.0,397224800.0,711288000.0,4878232400.0,,33001200.0,137060000.0,2650633600.0,1161200800.0,139374000.0,35600000.0,964831200.0,,-47134400.0,3205388400.0,61410000.0,5332524000.0,1451269600.0,-7333600.0,518514000.0,-1068000.0,-116340800.0,-348951200.0,693808400.0,518514000.0,4233089200.0,2761634400.0,555039600.0,18020008000.0,2606738800.0,111534800.0,-836991600.0,"Chunghwa Telecom Co., Ltd.",TWD,Communication Services,Telecom Services,,,2020,1361450800.0,305448000.0,805343200.0,118904000.0,-348951200.0,2650633600.0,11356400.0
4502.T,2019-03-31,210129256.7296087,13049842948.975391,-802681844.114096,27020305901.96846,,661894519.8875,1152045656.8903086,46781519867.41628,-67419027.72197619,18933155194.85723,-442737541.181194,4377939606.267545,-25599893153.876865,2642748248.292467,14403107501.00431,6338300405.785408,2236085484.130156,16978427693.852823,-34390520068.30026,38279807139.41313,12024302760.144548,-642259224.5881832,1954727501.0044048,-1290530912.012847,1220475789.473675,3679437673.764536,-120808975.4921646,-10580490.156689351,,1220475789.473675,1219464684.612285,432752880.6749666,-17143644.033748362,28541179140.21674,,,6762838059.46158,6253755789.473637,36165054.238649786,43026168079.5497,5883312245.881836,,3158610337.48491,3324521811.972655,2965417087.1835856,12220014744.877369,457858975.4921621,,1593058903.1739535,,-237284644.43551448,42892232796.30341,5406513109.682563,14897835693.049303,1954727501.0044048,-434757034.9537934,8302525070.309298,-282287838.48935103,-148172000.80353445,26597808513.45902,10024942201.68735,2707612430.695038,77699635010.04361,14837828425.070198,1917018706.30774,124517319931.69852,23048216564.885323,803386006.4282784,-701246359.983924,Takeda Pharmaceutical Company Limited,JPY,Healthcare,Drug Manufacturers—Specialty & Generic,139.777,35.6699,2019,51917986729.60989,4872505299.316958,5967315198.875005,1754673182.0007904,26597808513.45902,2965417087.1835856,457858975.4921621
4502.T,2020-03-31,145791280.067283,20285213682.085728,-3308942361.648434,22754497049.621464,,-11573369.217830077,-559815663.5828412,43524373211.10164,-967924359.9663556,30326539720.773678,-694125719.0916717,5361003925.98821,2691720575.273331,47002990.74852804,12623560329.688778,5875272484.44069,5076046566.862895,27577413022.70808,-31885793217.830017,36973302580.31949,12774659142.136211,-1223717934.398651,2749126698.065593,-2603842213.6248875,407657187.552564,-594139549.2010076,-320902990.7485272,-34434459.20941958,,407657187.552564,408108696.3835144,385634613.9613109,363096030.2775431,-5400506341.463399,,,7232627818.334714,8885214640.874659,36885507.148864485,41524870960.47086,10041326038.687944,,852927825.0630758,4534328114.381821,6171406990.74851,12313935845.248072,1266915350.7148829,,3795880814.12951,,409656726.66105855,38436863848.61217,2501506354.920093,15482947327.165642,2749126698.065593,-1373047569.3860347,6999299111.858685,-200562065.6013451,-275807394.4491161,-9262500948.696358,9977866011.774572,3404330513.036155,74578275229.60449,15370862563.498692,1950029783.010928,118139533947.855,20049738005.0462,2838995384.356594,-1170992760.302772,Takeda Pharmaceutical Company Limited,JPY,Healthcare,Drug Manufacturers—Specialty & Generic,139.777,35.6699,2020,46932076218.67102,2704759044.5752654,6589808245.584506,4165325611.4381714,-9262500948.696358,6171406990.74851,115899552.5651805
