ticker,date2,date,shortTermInvestments,grossProfit,totalOtherIncomeExpenseNet,totalCurrentAssets,effectOfAccountingCharges,otherCashflowsFromInvestingActivities,incomeBeforeTax,totalStockholderEquity,incomeTaxExpense,totalRevenue,changeToNetincome,shortLongTermDebt,totalCashflowsFromInvestingActivities,treasuryStock,retainedEarnings,cash,depreciation,totalOperatingExpenses,netTangibleAssets,goodWill,propertyPlantEquipment,otherCashflowsFromFinancingActivities,operatingIncome,dividendsPaid,netIncome,changeInCash,changeToAccountReceivables,repurchaseOfStock,issuanceOfStock,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,investments,otherOperatingExpenses,netBorrowings,extraordinaryItems,nonRecurring,netReceivables,sellingGeneralAdministrative,minorityInterest,longTermDebt,costOfRevenue,discontinuedOperations,otherStockholderEquity,researchDevelopment,totalCashFromOperatingActivities,otherCurrentLiab,changeToInventory,deferredLongTermLiab,otherAssets,otherItems,changeToOperatingActivities,intangibleAssets,otherCurrentAssets,capitalSurplus,ebit,interestExpense,inventory,effectOfExchangeRate,changeToLiabilities,totalCashFromFinancingActivities,otherLiab,longTermInvestments,totalLiab,commonStock,accountsPayable,totalAssets,totalCurrentLiabilities,deferredLongTermAssetCharges,capitalExpenditures,name,currency,sector,subsector,TotalDebt,WorkingCapital,AccountsReceivable,FreeCashFlow,FinancingCashFlow,OperatingCashFlow,SaleOfPPE,ebitda,EnterpriseValue
005490.KS,2018,12/31/18,8.03381E+12,7.94815E+12,-1.91668E+12,3.36291E+13,,1.04685E+11,3.56282E+12,4.33713E+13,1.67076E+12,6.49778E+13,2.96401E+12,2.80184E+12,-2.64797E+12,-2.73771E+12,4.4216E+13,2.64386E+12,3.26763E+12,5.94983E+13,3.82996E+13,1.12515E+12,3.00183E+13,-1.21222E+12,5.4795E+12,-7.23934E+11,1.69061E+12,31334623850,-40511000000,-8.83219E+11,,1.67289E+12,1.89206E+12,-1.12636E+12,71973000000,-1.2589E+12,,,1.05434E+13,1.93675E+12,3.38829E+12,9.91965E+12,5.70296E+13,,-1.20498E+12,1.08352E+11,5.86972E+12,3.86479E+12,-1.57256E+12,99163000000,5.84414E+12,,-8.19202E+11,3.94651E+12,7.8438E+11,1.41055E+12,5.4795E+12,-7.41296E+11,1.14999E+13,4627568590,3.79742E+11,-3.19505E+12,2.54648E+12,3.68504E+12,3.14887E+13,4.82403E+11,4.00613E+12,7.82483E+13,1.8938E+13,1.38103E+12,-2.17966E+12,POSCO Holdings Inc.,KRW,Basic Materials,Steel,2.0304E+13,1.47214E+13,8.64825E+12,3.28656E+12,-3.19505E+12,5.86973E+12,90412000000,8.74713E+12,6.10314E+13
005490.KS,2019,12/31/19,8.94851E+12,6.22924E+12,-7.35253E+11,3.47686E+13,,80034952320,3.05328E+12,4.44719E+13,1.07064E+12,6.43668E+13,7.49243E+11,3.06188E+12,-3.68286E+12,-2.4669E+12,4.50801E+13,3.51487E+12,3.46112E+12,6.05783E+13,3.96577E+13,1.09781E+12,2.9926E+13,-1.03939E+11,3.78853E+12,-9.46218E+11,1.83509E+12,8.71381E+11,4.30206E+11,-8.83219E+11,,1.82842E+12,1.98264E+12,-1.02586E+12,78932000000,-4.62022E+11,,,1.05588E+13,1.95574E+12,3.32283E+12,1.18934E+13,5.81376E+13,,-9.58596E+11,1.10315E+11,6.00466E+12,3.38458E+12,7.93883E+11,94339000000,5.58802E+12,,-5.32137E+11,3.71632E+12,6.80216E+11,1.37625E+12,3.78853E+12,-7.55711E+11,1.09203E+13,61763420160,-7.32741E+11,-1.51218E+12,2.52057E+12,3.96194E+12,3.1264E+13,4.82403E+11,3.42292E+12,7.90587E+13,1.63237E+13,1.23729E+12,-2.53856E+12,POSCO Holdings Inc.,KRW,Basic Materials,Steel,2.11171E+13,1.85934E+13,9.48108E+12,3.18585E+12,-1.51218E+12,6.00466E+12,51800000000,7.24965E+12,6.20741E+13
005490.KS,2020,12/31/20,1.16099E+13,4.70657E+12,-3.24844E+11,3.57975E+13,,32238702600,2.02509E+12,4.43314E+13,2.36934E+11,5.77928E+13,6.58264E+11,3.48313E+12,-6.25927E+12,-3.57306E+12,4.61115E+13,4.75464E+12,3.62174E+12,5.54429E+13,4.0109E+13,9.03893E+11,2.94001E+13,-1.33048E+11,2.34993E+12,-6.59145E+11,1.60215E+12,1.24033E+12,8.16797E+11,-8.83219E+11,,1.59546E+12,1.78815E+12,-2.82029E+12,59274000000,5.84544E+11,,,9.51396E+12,1.86543E+12,3.34324E+12,1.18201E+13,5.30862E+13,,-1.18153E+12,1.16273E+11,8.68574E+12,3.40685E+12,1.71789E+12,2.27111E+11,5.7531E+12,,-3.2551E+11,3.31843E+12,6.85276E+11,1.31055E+12,2.34993E+12,-6.38797E+11,9.05179E+12,-95272448070,5.94414E+11,-1.09087E+12,2.24221E+12,3.91387E+12,3.14124E+13,4.82403E+11,3.75551E+12,7.9087E+13,1.6855E+13,1.33515E+12,-3.19792E+12,POSCO Holdings Inc.,KRW,Basic Materials,Steel,2.12373E+13,1.91934E+13,7.46862E+12,5.18815E+12,-1.09087E+12,8.68574E+12,61567000000,5.97167E+12,6.0814E+13
2330.TW,2018,12/31/18,1.32313E+11,5.00582E+11,9861581000,9.5168E+11,,17961841000,3.9751E+11,1.67682E+12,46325857000,1.03147E+12,-8058096000,35053891000,-3.14269E+11,-15449913000,1.37665E+12,5.77815E+11,2.89711E+11,6.43825E+11,1.65982E+12,5795488000,1.07205E+12,-3579822000,3.87649E+11,-2.07443E+11,3.51131E+11,24422905000,-12671556000,,,3.51131E+11,3.51184E+11,-9730504000,784125000,-34101925000,,,1.29263E+11,26253711000,678731000,56900000000,5.30891E+11,,-15449913000,85895569000,5.73954E+11,1.16356E+11,-29369975000,,20091105000,,-24643943000,11206649000,5639467000,56315932000,3.87649E+11,-3051223000,1.03231E+11,9862296000,4540583000,-2.45125E+11,15189056000,29304796000,4.12632E+11,2.59304E+11,34350389000,2.09013E+12,3.40543E+11,16806387000,-3.15582E+11,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,1.80555E+11,5.94843E+11,1.25026E+11,2.51272E+11,-2.45125E+11,5.73954E+11,181500000,6.7736E+11,1.27956E+12
2330.TW,2019,12/31/19,1.38623E+11,4.96099E+11,14045630000,8.22614E+11,,21447064000,3.89845E+11,1.62141E+12,44501527000,1.06999E+12,-27831250000,31800000000,-4.58802E+11,-27568369000,1.33333E+12,4.55399E+11,2.83137E+11,6.94186E+11,1.60076E+12,5693376000,1.36961E+12,-4308074000,3.758E+11,-2.59304E+11,3.45264E+11,-1.22415E+11,-18397210000,,,3.45264E+11,3.45344E+11,-10784010000,794213000,-6026287000,,,1.39822E+11,28085836000,685302000,25100000000,5.73887E+11,,-27568369000,91418746000,6.15139E+11,3.3187E+11,20249780000,,21756244000,,2260697000,14959652000,5600921000,56339709000,3.758E+11,-3250847000,82981196000,-9114196000,5860068000,-2.69638E+11,11832072000,30172039000,6.4271E+11,2.59304E+11,40205966000,2.26481E+12,5.90736E+11,17928358000,-4.60422E+11,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,1.90464E+11,2.2425E+11,1.35978E+11,1.45387E+11,-2.69638E+11,6.15139E+11,287300000,6.58937E+11,1.35647E+12
2330.TW,2020,12/31/20,1.39587E+11,7.11147E+11,17993482000,1.09219E+12,,10034702000,5.84777E+11,1.84966E+12,66619098000,1.33925E+12,1392788000,2601169000,-5.05782E+11,-54679873000,1.58869E+12,6.60171E+11,3.28055E+11,7.72471E+11,1.82389E+12,5436602000,1.58332E+12,-2034985000,5.66784E+11,-2.59304E+11,5.17885E+11,2.04771E+11,-7778769000,,,5.17885E+11,5.18158E+11,357961000,-693745000,1.72724E+11,,,1.46089E+11,35570460000,964743000,2.56073E+11,6.28108E+11,,-54679873000,1.09486E+11,8.22666E+11,3.88515E+11,-54372211000,,31712208000,,36374989000,20331577000,8984978000,56347243000,5.66784E+11,-2081455000,1.37353E+11,-23498100000,404607000,-88615087000,16305014000,27728208000,9.10089E+11,2.59304E+11,41095002000,2.76071E+12,6.17151E+11,25958184000,-5.07239E+11,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,3.67792E+11,4.60287E+11,1.42772E+11,3.01192E+11,-88615100000,8.22666E+11,606700000,8.94839E+11,1.55728E+12
2412.TW,2018,12/31/18,8157000000,75938000000,1452000000,91689000000,,707000000,44986000000,3.74672E+11,6405000000,2.15483E+11,-3374000000,,-32614000000,460000000,1.46876E+11,27645000000,31462000000,1.71949E+11,3.23728E+11,209000000,2.88914E+11,2140000000,43534000000,-37205000000,37557000000,-1180000000,4105000000,,,37557000000,38581000000,-4531000000,-100000000,30000000,,,34969000000,27759000000,9857000000,1600000000,1.39545E+11,,460000000,3725000000,66366000000,29672000000,-6778000000,1335000000,25327000000,,-2734000000,50735000000,1502000000,1.49762E+11,43534000000,-18000000,17543000000,103000000,3718000000,-35035000000,17709000000,10182000000,82527000000,77574000000,20465000000,4.67056E+11,63218000000,3554000000,-28550000000,"Chunghwa Telecom Co., Ltd.",TWD,Communication Services,Telecom Services,1700000000,28471000000,30076000000,37318000000,-35035000000,66366000000,264000000,74996000000,3.48727E+11
2412.TW,2019,12/31/19,5959000000,71567000000,1138000000,94072000000,,-263000000,41867000000,3.74157E+11,7946000000,2.0752E+11,-169000000,,-27127000000,587000000,1.46234E+11,34050000000,34788000000,1.66791E+11,3.2711E+11,200000000,2.95058E+11,-450000000,40729000000,-34746000000,32947000000,6405000000,4212000000,,,32947000000,33921000000,-2382000000,44000000,-3738000000,,,30866000000,26978000000,10115000000,1600000000,1.35953E+11,,587000000,3941000000,72427000000,34481000000,-2698000000,943000000,25880000000,,237000000,46847000000,1633000000,1.49762E+11,40729000000,-104000000,19680000000,39000000,1549000000,-38934000000,18646000000,15071000000,92856000000,77574000000,15312000000,4.77128E+11,66143000000,3259000000,-24166000000,"Chunghwa Telecom Co., Ltd.",TWD,Communication Services,Telecom Services,11448000000,27929000000,26408000000,47898000000,-38934000000,72427000000,48000000,75517000000,3.51555E+11
2412.TW,2020,12/31/20,4596000000,70580000000,2060000000,81803000000,,448000000,42826000000,3.76115E+11,8122000000,2.07609E+11,708000000,1600000000,-68254000000,927000000,1.47824E+11,30420000000,35995000000,1.66843E+11,2.8583E+11,246000000,2.92425E+11,-309000000,40766000000,-32783000000,33419000000,-3630000000,3868000000,,,33419000000,34704000000,1607000000,,23290000000,,,28183000000,25919000000,11158000000,19980000000,1.37029E+11,,927000000,3850000000,74456000000,32618000000,3915000000,1000000000,27102000000,,-1324000000,90039000000,1725000000,1.4979E+11,40766000000,-206000000,14565000000,-30000000,-3268000000,-9802000000,19489000000,14565000000,1.18907E+11,77574000000,15591000000,5.0618E+11,73223000000,3133000000,-23511000000,"Chunghwa Telecom Co., Ltd.",TWD,Communication Services,Telecom Services,38243000000,8580000000,22622000000,3340000000,-9802000000,74456000000,319000000,76761000000,3.83938E+11
4502.T,2019,3/31/19,23276000000,1.44553E+12,-88913000000,2.99304E+12,,73318000000,1.27612E+11,5.18199E+12,-7468000000,2.09722E+12,-49042000000,4.84944E+11,-2.8357E+12,2.92737E+11,1.59543E+12,7.02093E+11,2.47691E+11,1.8807E+12,-3.80944E+12,4.24025E+12,1.33193E+12,-71143000000,2.16525E+11,-1.42952E+11,1.35192E+11,4.07571E+11,-13382000000,-1172000000,,1.35192E+11,1.3508E+11,47936000000,-1899000000,3.1615E+12,,,7.49119E+11,6.92728E+11,4006000000,4.76601E+12,6.51694E+11,,3.49879E+11,3.68257E+11,3.28479E+11,1.35361E+12,50717000000,,1.76463E+11,,-26284000000,4.75117E+12,5.98879E+11,1.65023E+12,2.16525E+11,-48158000000,9.1967E+11,-31269000000,-16413000000,2.94624E+12,1.11046E+12,2.99922E+11,8.60678E+12,1.64359E+12,2.12348E+11,1.37928E+13,2.55305E+12,88991000000,-77677000000,Takeda Pharmaceutical Company Limited,JPY,Healthcare,Drug Manufacturers—Specialty & Generic,5.75095E+12,5.39727E+11,6.60999E+11,1.94365E+11,2.94624E+12,3.28479E+11,50717000000,4.64216E+11,1.02308E+13
