ticker,date,accountsPayable,totalCashFromOperatingActivities,changeToNetincome,researchDevelopment,totalStockholderEquity,incomeTaxExpense,netTangibleAssets,effectOfExchangeRate,otherAssets,deferredLongTermAssetCharges,otherLiab,discontinuedOperations,depreciation,nonRecurring,longTermDebt,shortTermInvestments,totalOperatingExpenses,cash,longTermInvestments,capitalExpenditures,dividendsPaid,treasuryStock,repurchaseOfStock,changeToLiabilities,incomeBeforeTax,changeToOperatingActivities,otherCashflowsFromFinancingActivities,totalOtherIncomeExpenseNet,interestExpense,totalCashflowsFromInvestingActivities,totalCurrentLiabilities,effectOfAccountingCharges,otherCurrentAssets,extraordinaryItems,otherCashflowsFromInvestingActivities,operatingIncome,ebit,goodWill,commonStock,otherStockholderEquity,totalAssets,investments,totalLiab,inventory,netIncomeApplicableToCommonShares,sellingGeneralAdministrative,grossProfit,changeToAccountReceivables,issuanceOfStock,netIncome,otherOperatingExpenses,shortLongTermDebt,otherItems,intangibleAssets,netIncomeFromContinuingOps,costOfRevenue,minorityInterest,netReceivables,propertyPlantEquipment,deferredLongTermLiab,totalRevenue,changeToInventory,totalCurrentAssets,netBorrowings,totalCashFromFinancingActivities,otherCurrentLiab,capitalSurplus,changeInCash,retainedEarnings,company_name,sector,subsector
A,2021-10-31,446000000.0,1485000000.0,56000000.0,441000000,5389000000.0,150000000,433000000.0,3000000.0,642000000.0,309000000.0,749000000.0,,321000000.0,,2729000000.0,91000000.0,4915000000,1484000000.0,185000000.0,-188000000.0,-236000000.0,-282000000.0,-864000000.0,64000000.0,1360000000,98000000.0,-7000000.0,-44000000,-81000000,-749000000.0,1708000000.0,,156000000.0,,-5000000.0,1404000000,1404000000,3975000000.0,3000000.0,-282000000.0,10705000000.0,-10000000.0,5316000000.0,830000000.0,1210000000,1562000000.0,3407000000,-128000000.0,55000000.0,1210000000,,,,981000000.0,1210000000,2912000000,,1238000000.0,1123000000.0,,6319000000,-136000000.0,3799000000.0,356000000.0,-696000000.0,584000000.0,5320000000.0,43000000.0,348000000.0,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
A,2020-10-31,354000000.0,921000000.0,220000000.0,397000000,4873000000.0,123000000,440000000.0,2000000.0,601000000.0,380000000.0,876000000.0,,308000000.0,,2284000000.0,,4294000000,1441000000.0,158000000.0,-119000000.0,-222000000.0,-522000000.0,-506000000.0,2000000.0,842000000,-153000000.0,-4000000.0,-203000000,-78000000,-147000000.0,1467000000.0,,127000000.0,,-9000000.0,1045000000,1045000000,3602000000.0,3000000.0,-522000000.0,9627000000.0,-20000000.0,4754000000.0,720000000.0,719000000,1395000000.0,2837000000,-107000000.0,60000000.0,719000000,,,,831000000.0,719000000,2502000000,,1127000000.0,1020000000.0,,5339000000,-68000000.0,3415000000.0,-45000000.0,-717000000.0,496000000.0,5311000000.0,59000000.0,81000000.0,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
A,2019-10-31,354000000.0,1021000000.0,-152000000.0,404000000,4748000000.0,-152000000,48000000.0,2000000.0,611000000.0,410000000.0,833000000.0,,238000000.0,,1791000000.0,,4120000000,1382000000.0,102000000.0,-155000000.0,-206000000.0,-514000000.0,-739000000.0,29000000.0,919000000,-23000000.0,-8000000.0,-124000000,-74000000,-1590000000.0,2080000000.0,,130000000.0,,-3000000.0,1043000000,1043000000,3593000000.0,3000000.0,-514000000.0,9452000000.0,-23000000.0,4704000000.0,679000000.0,1071000000,1358000000.0,2805000000,-106000000.0,54000000.0,1071000000,,,,1107000000.0,1071000000,2358000000,,998000000.0,850000000.0,,5163000000,-36000000.0,3189000000.0,600000000.0,-299000000.0,666000000.0,5277000000.0,-866000000.0,-18000000.0,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
A,2018-10-31,340000000.0,1087000000.0,90000000.0,387000000,4567000000.0,630000000,1103000000.0,-17000000.0,339000000.0,165000000.0,1000000000.0,,210000000.0,,1799000000.0,,3943000000,2247000000.0,68000000.0,-177000000.0,-191000000.0,-408000000.0,-452000000.0,40000000.0,946000000,27000000.0,-8000000.0,-25000000,-75000000,-705000000.0,1171000000.0,,128000000.0,,-2000000.0,971000000,971000000,2973000000.0,3000000.0,-408000000.0,8541000000.0,-11000000.0,3970000000.0,638000000.0,316000000,1322000000.0,2680000000,-65000000.0,56000000.0,316000000,,,,491000000.0,316000000,2234000000,4000000.0,835000000.0,822000000.0,,4914000000,-83000000.0,3848000000.0,-210000000.0,-797000000.0,435000000.0,5308000000.0,-432000000.0,-336000000.0,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
ABT,2020-12-31,3946000000.0,7901000000.0,971000000.0,2363000000,32784000000.0,497000000,-5744000000.0,71000000.0,2784000000.0,2418000000.0,8209000000.0,24000000,3327000000.0,,18527000000.0,310000000.0,29055000000,6838000000.0,665000000.0,-2177000000.0,-2560000000.0,-18988000000.0,-403000000.0,1766000000.0,4968000000,-627000000.0,-11000000.0,-585000000,-546000000,-2215000000.0,11907000000.0,,90000000.0,,19000000.0,5553000000,5553000000,23744000000.0,24145000000.0,-8946000000.0,72548000000.0,-73000000.0,39545000000.0,5012000000.0,4473000000,9563000000.0,19611000000,-924000000.0,245000000.0,4495000000,,7000000.0,,14784000000.0,4471000000,14997000000,219000000.0,6414000000.0,10130000000.0,,34608000000,-493000000.0,20441000000.0,-50000000.0,-2779000000.0,1658000000.0,,2978000000.0,27627000000.0,Abbott Laboratories,Healthcare,Medical Devices
ABT,2019-12-31,3252000000.0,6136000000.0,766000000.0,2412000000,31088000000.0,390000000,-9132000000.0,-16000000.0,2443000000.0,2097000000.0,8307000000.0,24000000,3014000000.0,,16661000000.0,280000000.0,27081000000,3860000000.0,585000000.0,-1638000000.0,-2270000000.0,-18612000000.0,-718000000.0,220000000.0,4077000000,-138000000.0,-11000000.0,-746000000,-670000000,-1815000000.0,10863000000.0,,148000000.0,,27000000.0,4823000000,4823000000,23195000000.0,23853000000.0,-8465000000.0,67887000000.0,-82000000.0,36586000000.0,4316000000.0,3666000000,9518000000.0,18689000000,-275000000.0,298000000.0,3687000000,,1277000000.0,,17025000000.0,3687000000,13215000000,213000000.0,5425000000.0,8972000000.0,,31904000000,-593000000.0,15667000000.0,-1599000000.0,-4289000000.0,950000000.0,,16000000.0,25847000000.0,Abbott Laboratories,Healthcare,Medical Devices
ABT,2018-12-31,2975000000.0,6300000000.0,802000000.0,2298000000,30524000000.0,539000000,-11672000000.0,-116000000.0,2192000000.0,1885000000.0,8080000000.0,34000000,3278000000.0,,19359000000.0,242000000.0,26740000000,3844000000.0,590000000.0,-1394000000.0,-1974000000.0,-17548000000.0,-238000000.0,747000000.0,2873000000,23000000.0,-11000000.0,-965000000,-826000000,-1356000000.0,9012000000.0,,114000000.0,,102000000.0,3838000000,3838000000,23254000000.0,23512000000.0,-7586000000.0,67173000000.0,-58000000.0,36451000000.0,3796000000.0,2353000000,9568000000.0,17882000000,-190000000.0,271000000.0,2368000000,,7000000.0,,18942000000.0,2334000000,12696000000,198000000.0,5182000000.0,7563000000.0,,30578000000,-514000000.0,14632000000.0,-8450000000.0,-10391000000.0,868000000.0,,-5563000000.0,24560000000.0,Abbott Laboratories,Healthcare,Medical Devices
ABT,2017-12-31,2402000000.0,5570000000.0,154000000.0,2183000000,30897000000.0,1878000000,-14596000000.0,116000000.0,2483000000.0,1944000000.0,9030000000.0,124000000,3019000000.0,,27210000000.0,203000000.0,24452000000,9407000000.0,520000000.0,-1135000000.0,-1849000000.0,-16287000000.0,-117000000.0,615000000.0,2231000000,109000000.0,-13000000.0,-707000000,-904000000,-9618000000.0,8912000000.0,,158000000.0,,2739000000.0,2938000000,2938000000,24020000000.0,23206000000.0,-6062000000.0,76250000000.0,-81000000.0,45152000000.0,3601000000.0,468000000,8804000000.0,15900000000,-207000000.0,350000000.0,477000000,,508000000.0,,21473000000.0,353000000,11490000000,201000000.0,5249000000.0,7607000000.0,,27390000000,249000000.0,20147000000.0,-2942000000.0,-5281000000.0,798000000.0,,-9213000000.0,23978000000.0,Abbott Laboratories,Healthcare,Medical Devices
ADI,2021-10-30,443434000.0,2735069000.0,356379000.0,1296126000,37992542000.0,-61708000,-4193098000.0,3174000.0,2371665000.0,2267269000.0,5010223000.0,,1074634000.0,,6253212000.0,,5544914000,1977964000.0,127856000.0,-343676000.0,-1109344000.0,-186565000.0,-3105144000.0,208444000.0,1328714000,-102604000.0,-155939000.0,-444658000,-184825000,2143525000.0,2770312000.0,,,,-4238000.0,1773372000,1773372000,26918470000.0,87554000.0,-186565000.0,52322071000.0,30125000.0,14329529000.0,1200610000.0,1390422000,918703000.0,4525012000,-114504000.0,63105000.0,1390422000,,516663000.0,,15267170000.0,1390422000,2793274000,,1459056000.0,2258593000.0,,7318286000,-65114000.0,5378317000.0,347658000.0,-3959664000.0,996883000.0,30574237000.0,922104000.0,7517316000.0,"Analog Devices, Inc.",Technology,Semiconductors
ADI,2020-10-31,227273000.0,2008487000.0,80988000.0,1050519000,11997945000.0,90856000,-3930760000.0,182000.0,1558295000.0,1503064000.0,2672078000.0,,810923000.0,,5145102000.0,,4053679000,1055860000.0,86729000.0,-165692000.0,-886155000.0,-249461000.0,-244487000.0,103104000.0,1311617000,-136864000.0,-4015000.0,-237760000,-193305000,-180523000.0,1364986000.0,,5550000.0,,-635000.0,1549377000,1549377000,12278425000.0,61582000.0,-249461000.0,21468603000.0,30125000.0,9470658000.0,608260000.0,1220761000,661127000.0,3690478000,-101626000.0,68403000.0,1220761000,,214586000.0,,3650280000.0,1220761000,1912578000,,737536000.0,1377186000.0,,5603056000,1760000.0,2517688000.0,-354354000.0,-1420608000.0,439423000.0,4949586000.0,407538000.0,7236238000.0,"Analog Devices, Inc.",Technology,Semiconductors
