ticker,date,shortTermInvestments,grossProfit,totalOtherIncomeExpenseNet,totalCurrentAssets,effectOfAccountingCharges,otherCashflowsFromInvestingActivities,incomeBeforeTax,totalStockholderEquity,incomeTaxExpense,totalRevenue,changeToNetincome,shortLongTermDebt,totalCashflowsFromInvestingActivities,treasuryStock,retainedEarnings,cash,depreciation,totalOperatingExpenses,netTangibleAssets,goodWill,propertyPlantEquipment,otherCashflowsFromFinancingActivities,operatingIncome,dividendsPaid,netIncome,changeInCash,changeToAccountReceivables,repurchaseOfStock,issuanceOfStock,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,investments,otherOperatingExpenses,netBorrowings,extraordinaryItems,nonRecurring,netReceivables,sellingGeneralAdministrative,minorityInterest,longTermDebt,costOfRevenue,discontinuedOperations,otherStockholderEquity,researchDevelopment,totalCashFromOperatingActivities,otherCurrentLiab,changeToInventory,deferredLongTermLiab,otherAssets,otherItems,changeToOperatingActivities,intangibleAssets,otherCurrentAssets,capitalSurplus,ebit,interestExpense,inventory,effectOfExchangeRate,changeToLiabilities,totalCashFromFinancingActivities,otherLiab,longTermInvestments,totalLiab,commonStock,accountsPayable,totalAssets,totalCurrentLiabilities,deferredLongTermAssetCharges,capitalExpenditures,name,currency,sector,subsector
005490.KS,2020-12-31,10881233577.08466,1372669047.6970377,-257213535.74972063,33550838607.604134,,-72881046.38434836,485846522.3924055,41549056796.28098,-202630738.16171727,14306209041.191463,263517105.87659287,3264527946.952587,-1634826080.4922774,-3348807495.750399,43217441799.79872,4456236278.93332,877385500.7176585,13563148983.04934,37591734134.80139,847163491.1418324,27554949945.045574,-251535321.4933339,743060058.1421262,-111002369.22409172,657018962.5253656,-1887168499.3756464,653305977.7588484,-518801522.021827,,655443271.7038152,688477260.5541228,-502877519.0781246,14890848.305343036,-2081445740.128834,,,8916850111.961224,463572883.7028157,3133415431.691951,11078234131.66113,12933539993.494429,,-1107379837.9448926,35539153.88282368,2529198438.873863,3193031803.220647,-289353700.7369433,212857216.10490695,5392026601.488742,,-326118631.612757,3110159170.3377595,642267077.9538813,1228295619.3475614,743060058.1421262,-124652745.75847328,8483688178.687173,-79852539.25120233,693443224.6543869,-2701688318.524775,2101484112.6139529,3668233360.285191,29440898947.9303,452126872.8850978,3519812001.0893774,74123371175.90323,15797128522.834496,1251358398.5618377,-957508618.5011488,POSCO Holdings Inc.,KRW,Basic Materials,Steel
005490.KS,2021-03-31,11592125546.610537,1912168908.7306817,12296439.339322183,35297192580.48645,,498893.1016174594,1397333947.231851,40553993392.005,377010646.16183984,14397257853.22056,475043579.816774,2907616187.8976154,-1688223115.3821414,-3012014793.641005,41917905241.33951,4073249942.806101,805574804.5824889,13012220345.32803,36814894416.86943,810983054.6274052,26405962187.72573,527017504.65714085,1385037507.8925292,-1404290.3225920042,918142901.8653212,-186816991.770676,-716243898.3355895,-104624544.11626616,,918142901.8653212,1020323301.0700116,-1248908977.8298495,19495633.56365372,521609452.3640184,,,9498133671.633032,420666833.667024,3542094733.882568,11133244899.301996,12485088944.489878,,-764633166.2920113,28977792.210840967,511486863.560954,3878557724.433263,-990327830.9453568,157224816.69575015,3779453936.080184,,79329774.90942383,2928115920.5081654,629323625.1539208,1215879287.2008638,1385037507.8925292,-115865473.85224542,9186795733.653564,47321137.46821031,-60032466.56702636,942598122.582301,2030443167.5097616,4985716155.727661,30111335709.276997,432223657.10563177,3411043300.89332,74207423835.1556,16386661884.246868,1215773953.0605743,-481928023.4210794,POSCO Holdings Inc.,KRW,Basic Materials,Steel
005490.KS,2021-06-30,10972045727.008053,2443328637.581108,176266785.65506527,34804453365.290634,,51354373.52654673,2078047898.0270188,40520780011.93704,511891627.5964205,15852868744.420372,445189815.3060388,1967757798.0066037,-273957413.88735306,-2862316155.5482087,41789710823.54661,3485719908.3479323,761277826.9757383,13951087632.048418,36917112200.96426,784339077.5141174,25422020444.737305,27568576.093083285,1901781112.3719532,-543964838.1210834,1442376505.665532,-454116942.5942636,-345792933.47116363,,,1439510036.533863,1566156270.4305985,248675459.56317464,21703109.050513774,-1100799581.2745888,,,9624722368.470856,442815227.2560882,3552122656.7614098,10349893186.125374,13409540106.839264,,-688544087.0756164,24291744.06763971,1424955668.4859152,3708248853.559535,-1053244264.510754,138695199.03107354,5113379942.849149,,-272471948.1979202,2819328733.4586663,574247461.0754914,1175318513.7592,1901781112.3719532,-92118834.66535008,9902800269.012363,12080646.109763322,447620666.0598019,-1617195843.302589,1987654970.2764912,3394051676.296721,28264670571.448147,418066830.17943656,3591864342.528496,72337573240.14659,15377783212.250587,1173128322.995185,-595644062.7144722,POSCO Holdings Inc.,KRW,Basic Materials,Steel
005490.KS,2021-09-30,12020590403.821709,3466176464.875869,225664426.6641348,41969659020.63579,,257577.9708637725,3085580711.807314,45163425425.52143,672144277.4464334,18954729375.27212,765397783.480462,2548567296.5568867,-1689916382.759107,-2768236205.6363034,46244458145.22568,5033355335.602917,816644236.0283496,16094813090.128937,41343035661.19508,832966685.5538923,27016524251.935265,17000446.018458087,2859916285.1431794,-279942584.0588256,2231668904.0696416,1339070427.578442,-762738172.7544911,,,2230124737.4113336,2413436434.3608804,-793655218.0591655,14363315.718562877,1768490986.1280258,,,11307252370.052622,501298958.7251296,3995260207.6869054,13169852609.019762,15488552910.396248,,-464398388.1481011,21457717.215568867,1463165590.320257,4353202673.64477,-2036388982.7844317,133698790.71856289,5861229005.82634,,-176914034.33652696,2987423078.772455,731071263.2001557,1244121992.902491,2859916285.1431794,-81329359.05688624,12683970765.92246,60272371.92963399,625495855.239521,1505548848.0876582,2065472057.8391843,4120168452.9966655,33629284862.51207,443081493.02956593,4791052404.653187,82787970495.72041,17823513001.641148,1295364099.293638,-710055243.5503788,POSCO Holdings Inc.,KRW,Basic Materials,Steel
2330.TW,2020-12-31,4704087999.7,6577863436.2,134368201.9,36806644879.6,,-4136675.0,5429318065.7,62333449527.200005,616131606.9,12183664020.9,492784653.0,87659395.3,-3065305258.1,-1842711720.1,53538720929.700005,22247750803.9,3257200202.5,6888714157.1,61465061894.9,183213487.4,53357799817.4,-2397923.5,5294949863.8,-2184634582.4,4811228825.8,1886375495.8,557389238.0,,,4811228825.8,4813186458.8,-51349364.0,-8518921.9,-1223535385.6,,,4923200917.6,282440609.90000004,32511839.1,8629649821.5,5605800584.7,,-1842711720.1,1008991884.4,8732700680.800001,13092940570.9,-938340137.7,,1068701409.6,,556782435.8000001,685174144.9,302793758.6,1898902089.1,5294949863.8,-25901213.4,4628809815.900001,-370452035.4,2529960.1,-3410567891.5,549478971.8000001,934440609.6,30670012982.2,8738538228.5,1384901567.4,93035974348.5,20797990317.6,874790800.8000001,-2988347870.7000003,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors
2330.TW,2021-03-31,4801888398.0,6205649661.3,139034219.7,37271029112.1,,23932410.6,5070605520.3,63403220149.2,501148428.0,11850814521.0,266295393.0,,-7987021237.8,-1582445312.1,54388988088.9,21736600923.9,3267930155.4,6919243220.4,62585305251.6,179597392.5,55290258785.4,285957968.4,4931571300.6,-2119808597.7,4567879121.1,149020767.0,-701104807.8,,,4567879121.1,4569457092.3,116680990.2,-4878578.4,2311874173.2,,,5478280017.3,273224032.5,67380508.2,9138411552.9,5645164859.7,,-1582445312.1,1005732906.6,7449573586.2,11119620873.6,-562903064.7,,1123830264.6,,527790033.6,638317505.1,197796087.0,2117442948.9,4931571300.6,-25247506.5,5054359473.6,208444874.7,-76327326.3,478023543.9,521532169.2,952565715.0,31984998117.3,8479234423.5,1261590852.0,95455598774.7,21635909612.4,1022013157.5,-8110539307.5,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors
2330.TW,2021-06-30,4508332000.0,6220220109.0,124377258.0,41452873600.0,,20712074.8,4989661905.0,66127688060.0,497972590.6,12429647074.8,-1546152466.0,340680.0,-5669682932.4,-1957039600.0,57261203820.0,24982602140.0,3430189953.2,7564362427.8,65241415720.0,180640560.0,58626966560.0,-16773212.8,4865284647.0,-2165186696.6,4487588662.8,2780693286.0,-360084932.4,,,4487588662.8,4491689314.4,2801391.6,-550866.2,4687983385.599999,,,6011051440.0,324315569.8,72277600.0,13815449080.0,6209426965.8,,-1957039600.0,1031170758.4,6260479099.599999,10887788780.0,-530096042.6,,1363194280.0,,542747728.8,705631780.0,258225420.0,2162776920.0,4865284647.0,-37888926.6,5692652580.0,-316126357.4,102627144.6,2506023476.2,548728600.0,966499140.0,37095840260.0,8660746920.0,1377082000.0,103295805920.0,22029247220.0,1208425360.0,-5576833905.0,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors
2330.TW,2021-09-30,4830262930.8,7577413150.4,101392039.6,48794754416.4,,140520533.6,6189118348.4,73906314207.2,618460466.0,14762265492.4,-488932963.2,,-6301918087.6,-2111229947.2,64481340338.0,30395705989.6,3768920415.6,8674539183.6,72993390868.8,192416718.4,66282061567.2,-55441410.8,6087726308.8,-2307803926.8,5562795017.2,3767541556.4,-317135942.8,,,5562795017.2,5570657882.4,325015931.6,6949832.0,1105686729.6,,,6665790778.4,383884839.2,81888828.8,16490120712.8,7184852342.0,,-2111229947.2,1098852170.4,11345940898.0,12687418211.2,-419903602.0,,1653356132.8,,3246015298.0,720506620.0,414128570.0,2304988358.4,6087726308.8,-47492642.8,6487521571.2,-18922646.0,71465184.4,-1257558608.0,4062369506.8,987207615.6,44642100034.4,9231215458.0,1562443451.6,118630303070.4,23340123620.0,1492543919.6,-6715580404.4,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors
2412.TW,2020-12-31,154885200.0,577912504.3000001,41439845.3,2756761100.0,,-1819361.9,350685266.7,12675075500.0,61273946.6,2004469630.7,49053517.8,53920000.0,-310632344.90000004,31239900.0,4981668800.0,1025154000.0,313896392.1,1695224209.3,9632471000.0,8290200.0,9854722500.0,7224909.3,309245421.40000004,-1044.7,277175423.0,428550464.7,-8437502.700000001,,,277175423.0,289411320.1,1204404.3,-101100.0,-196388401.3,,,949767100.0,236359229.9,376024600.0,673326000.0,1426557126.4,,31239900.0,32765768.6,928295751.6,1099226600.0,74304186.4,33700000.0,913337400.0,,200413731.5,3034314300.0,58132500.0,5047923000.0,309245421.40000004,-1954431.5,490840500.0,51594.7,12403217.6,-189164536.7,656779300.0,490840500.0,4007165900.0,2614243800.0,525416700.0,17058266000.0,2467615100.0,105582100.0,-321451932.1,"Chunghwa Telecom Co., Ltd.",TWD,Communication Services,Telecom Services
2412.TW,2021-03-31,337430122.8,595404216.0,7161496.2,2891098331.1,,10946292.3,370175379.6,12614580540.3,71898078.6,1638302536.5,77419146.6,52320000.0,-237283397.1,-4988940.9,4482128308.8,982435857.0,307547358.6,1275288653.1,9715250670.9,8053356.0,9512948295.0,1442593.2,363013883.4,-1092296575.5,287921668.8,-12286861.5,42932712.9,,,287921668.8,298277301.0,-102454953.3,-98100.0,-98934307.8,,,872178585.6,202340013.6,382058657.7,653382231.6,1042898320.5,,-4988940.9,28625612.7,322922473.5,1099614802.8,895293.3,31446510.9,877854847.8,,-201921846.0,2891276513.4,47736669.9,5600756166.9,363013883.4,-1658740.2,471638214.9,-434223.3,-200993427.6,-97491714.6,636880307.4,381357765.9,3565949911.2,2536685005.5,316856263.8,16562589109.2,2078755513.5,100506818.1,-145294013.4,"Chunghwa Telecom Co., Ltd.",TWD,Communication Services,Telecom Services
