ticker,date,shortTermInvestments,grossProfit,totalOtherIncomeExpenseNet,totalCurrentAssets,effectOfAccountingCharges,otherCashflowsFromInvestingActivities,incomeBeforeTax,totalStockholderEquity,incomeTaxExpense,totalRevenue,changeToNetincome,shortLongTermDebt,totalCashflowsFromInvestingActivities,treasuryStock,retainedEarnings,cash,depreciation,totalOperatingExpenses,netTangibleAssets,goodWill,propertyPlantEquipment,otherCashflowsFromFinancingActivities,operatingIncome,dividendsPaid,netIncome,changeInCash,changeToAccountReceivables,repurchaseOfStock,issuanceOfStock,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,investments,otherOperatingExpenses,netBorrowings,extraordinaryItems,nonRecurring,netReceivables,sellingGeneralAdministrative,minorityInterest,longTermDebt,costOfRevenue,discontinuedOperations,otherStockholderEquity,researchDevelopment,totalCashFromOperatingActivities,otherCurrentLiab,changeToInventory,deferredLongTermLiab,otherAssets,otherItems,changeToOperatingActivities,intangibleAssets,otherCurrentAssets,capitalSurplus,ebit,interestExpense,inventory,effectOfExchangeRate,changeToLiabilities,totalCashFromFinancingActivities,otherLiab,longTermInvestments,totalLiab,commonStock,accountsPayable,totalAssets,totalCurrentLiabilities,deferredLongTermAssetCharges,capitalExpenditures,name,currency,sector,subsector,longitude,latitude
005490.KS,2020-12-31,10663540498.206297,1345207037.1485736,-252067648.00364137,32879610910.514553,,-71422967.27347459,476126537.56047577,40717814452.80969,-198576849.514504,14019994921.14784,258245107.09915644,3199216864.8200254,-1602119281.1784115,-3281810292.79943,42352821267.5773,4367083538.2171,859832274.8208542,13291800735.583723,36839663123.16392,830214895.4340451,27003677715.717762,-246503033.72976094,728194185.5641171,-108781623.99810243,643874452.7765055,-1849413265.2764065,640235751.0478374,-508422230.01824784,,642330285.677323,674703387.0749798,-492816807.2432667,14592937.724549375,-2039803739.8467026,,,8738457051.926409,454298511.67294663,3070727424.133092,10856599803.202684,12674787883.999268,,-1085225279.3921082,34828147.38023589,2478598569.7181907,3129151093.439407,-283564807.63470095,208598733.60776266,5284152171.263837,,-319594208.7619427,3047936434.211733,629417698.6375107,1203721985.0023077,728194185.5641171,-122158907.185616,8313961080.488332,-78254986.45512432,679570000.6735818,-2647637567.3794312,2059441218.906357,3594845631.9005613,28851895882.099705,443081493.0295196,3449393632.973118,72640437759.0425,15481086640.155382,1226323363.6429193,-938352426.5365674,POSCO Holdings Inc.,KRW,Basic Materials,Steel,,
005490.KS,2021-03-31,11455846939.102287,1889689190.481031,12151880.722894637,34882233974.79523,,493028.04633398063,1380906698.9427369,40077235119.66408,372578457.6328135,14228001728.078974,469458902.76140064,2873433855.7910604,-1668376134.3947086,-2976605137.299623,41425112635.44656,4025364261.443637,796104357.4094654,12859246909.859133,36382093501.58249,801449027.3299073,26095530098.08098,520821815.0592011,1368754818.2198422,-1387781.2942062565,907349088.8017306,-184620745.75910383,-707823637.4689366,-103394563.71914054,,907349088.8017306,1008328241.3099234,-1234226633.7059143,19266440.23893834,515477340.5657561,,,9386472317.941446,415721417.04894674,3500453385.5332174,11002360955.21214,12338312537.597944,,-755644034.5975771,28637125.3369982,505473754.2959988,3832960871.319412,-978685402.0193385,155376460.32668883,3735022160.60643,,78397163.26584479,2893692590.7516775,621925210.8628423,1201585244.6207001,1368754818.2198422,-114503343.55341648,9078794511.184828,46764823.727995545,-59326716.70983715,931516810.6116104,2006573000.9574533,4927103397.230355,29757342743.606133,427142376.8964383,3370942611.0477033,73335031248.79457,16194018054.233606,1201481148.8029172,-476262411.9085962,POSCO Holdings Inc.,KRW,Basic Materials,Steel,,
005490.KS,2021-06-30,11216390304.496311,2497740924.8125715,180192200.69048408,35579539403.377235,,52498021.94122938,2124325479.0977857,41423167143.549126,523291319.7392395,16205907968.983328,455104075.6025727,2011579247.508005,-280058373.56356966,-2926059184.7942195,42720356711.15908,3563345975.486092,778231284.2991694,14261774690.576027,37739246596.61547,801806102.8320092,25988162165.16204,28182521.044190794,1944133278.4073014,-556078792.2410513,1474497851.7321367,-464230007.6715737,-353493651.30716896,,,1471567547.0855339,1601034159.358546,254213396.7546952,22186431.590637337,-1125314098.9204369,,,9839062408.521626,452676606.10022837,3631227495.6718388,10580382589.882355,13708167044.170755,,-703877783.1086539,24832714.82991513,1456689057.082595,3790830581.8797107,-1076699737.7385335,141783904.69728103,5227253571.592502,,-278539826.9432614,2882114444.1016455,587035801.2575605,1201492548.465573,1944133278.4073014,-94170296.92635849,10123333030.895254,12349678.926698202,457589060.7643708,-1653210370.1172974,2031919524.5800834,3469636315.975778,28894117363.82025,427377068.71869075,3671854218.3462653,73948512003.04121,15720242406.75196,1199253582.7283058,-608908899.5970874,POSCO Holdings Inc.,KRW,Basic Materials,Steel,,
005490.KS,2021-09-30,11048471792.91223,3185862891.4983926,207414691.70014516,38575525683.0159,,236747.35183216783,2836046343.3076134,41511008621.217606,617787216.8220031,17421839178.414867,703499207.3644615,2342461804.488,-1553250951.9131598,-2544365842.8264265,42504617013.952644,4626302251.46285,750601301.8907124,14793207526.807398,37999578056.569916,765603736.6394129,24831667672.923664,15625600.905771207,2628631651.6074686,-257303313.70625168,2051191339.977255,1230778302.1306221,-701054682.3370825,,,2049772051.8063138,2218259126.4856105,-729471431.556013,13201738.287229352,1625471139.091716,,,10392822204.984873,460758350.3993266,3672159039.3712707,12104791876.221436,14235976286.916473,,-426841970.2993069,19722407.588326648,1344837750.0554008,4001154297.155246,-1871703924.6706145,122886419.74947265,5387224850.626547,,-162606798.2081802,2745826828.008276,671948711.230327,1143508453.7241004,2628631651.6074686,-74752162.68827839,11658203842.039518,55398077.69714545,574911304.7725356,1383793426.2912357,1898435018.86807,3786965814.9659443,30909646925.59087,407248996.367284,4403594629.956428,76092814586.17975,16382105540.059742,1190606553.5721743,-652632280.630876,POSCO Holdings Inc.,KRW,Basic Materials,Steel,,
2330.TW,2020-12-31,4969303643.6,6948722205.6,141943857.2,38881796964.8,,-4369900.0,5735422051.6,65847798313.6,650868997.2,12870576829.2,520567764.0,92601616.4,-3238126622.8,-1946603478.8,56557224483.6,23502075033.2,3440840570.0,7277098634.8,64930451141.2,193543031.2,56366103071.2,-2533118.0,5593478194.4,-2307803891.2,5082485050.4,1992729010.4,588814744.0,,,5082485050.4,5084553054.4,-54244432.0,-8999217.2,-1292518092.8,,,5200770108.8,298364561.2,34344850.8,9116187942.0,5921854623.6,,-1946603478.8,1065878667.2,9225048790.4,13831118229.2,-991243587.6,,1128954604.8,,588173730.4,723804141.2,319865216.8,2005961850.8,5593478194.4,-27361519.2,4889781289.2,-391338055.2,2672598.8,-3602855102.0,580458498.4,987124204.8,32399182853.6,9231215458.0,1462982071.2,98281326018.0,21970577308.8,924111350.4,-3156830391.6,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,,
2330.TW,2021-03-31,5169005248.0,6680087708.8,149663747.20000002,40120496169.600006,,25762105.6,5458266492.8,68250561139.200005,539462528.0,12756840096.0,286654368.0,,-8597649772.800001,-1703427369.6000001,58547167606.4,23398420566.4,3517771910.4,7448237350.400001,67370114521.600006,193328080.0,59517342790.4,307820198.40000004,5308602745.6,-2281873475.2000003,4917105353.6,160413792.0,-754706092.8000001,,,4917105353.6,4918803964.8,125601555.2,-5251558.4,2488622963.2000003,,,5897108764.8,294112720.0,72531923.2,9837066870.400002,6076752387.200001,,-1703427369.6000001,1082623801.6000001,8019112851.200001,11969744793.6,-605938467.2,,1209750009.6000001,,568140953.6,687118537.6,212918112.0,2279326966.4,5308602745.6,-27177744.0,5440778393.6,224381027.20000002,-82162748.80000001,514569686.40000004,561404659.2,1025391840.0000001,34430334364.8,9127493936.0,1358042752.0,102753427427.20001,23290031142.4,1100148720.0,-8730611120.0,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,,
2330.TW,2021-06-30,4845782000.0,6685805446.5,133686933.0,44555633600.0,,22262379.8,5363139592.5,71077365310.0,535245988.1,13360009879.800001,-1661882441.0,366180.0,-6094060397.400001,-2103524600.0,61547222070.0,26852557390.0,3686940698.2000003,8130557220.3,70124755220.0,194161560.0,63015212560.0,-18028692.8,5229452659.5,-2327251569.1,4823486017.8,2988829011.0,-387037397.40000004,,,4823486017.8,4827893604.400001,3011076.6,-592098.7000000001,5038880345.6,,,6460980440.0,348590687.3,77687600.0,14849539580.0,6674204433.3,,-2103524600.0,1108354198.4,6729077834.6,11702743030.0,-569773890.1,,1465229780.0,,583372558.8000001,758448530.0,277553670.0,2324661420.0,5229452659.5,-40724924.1,6118749330.0,-339788509.90000004,110308817.10000001,2693600083.7000003,589801100.0,1038841890.0,39872475010.0,9309006420.0,1480157000.0,111027527920.0,23678142970.0,1298876360.0,-5994261592.5,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,,
2330.TW,2021-09-30,4884535548.0,7662552623.999999,102531275.99999999,49343010084.0,,142099416.0,6258659004.0,74736722232.0,625409460.0,14928133643.999998,-494426591.99999994,,-6372726155.999999,-2134951631.9999998,65205849779.99999,30737230775.999996,3811267835.9999995,8772005916.0,73813541328.0,194578704.0,67026803831.99999,-56064347.99999999,6156127728.0,-2333734308.0,5625298332.0,3809873483.9999995,-320699268.0,,,5625298332.0,5633249544.0,328667796.0,7027919.999999999,1118110176.0,,,6740687303.999999,388198152.0,82808928.0,16675402967.999998,7265581019.999999,,-2134951631.9999998,1111198824.0,11473423380.0,12829973471.999998,-424621619.99999994,,1671933167.9999998,,3282487379.9999995,728602200.0,418781699.99999994,2330887104.0,6156127728.0,-48026268.0,6560415071.999999,-19135260.0,72268164.0,-1271688480.0,4108014107.9999995,998299835.9999999,45143696664.0,9334936980.0,1579998995.9999998,119963227823.99998,23602372200.0,1509314076.0,-6791036363.999999,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,,
2412.TW,2020-12-31,163617600.0,610495108.4,43776216.4,2912186800.0,,-1921937.2,370456839.6,13389694000.0,64728560.8,2117481271.6,51819146.4,56960000.0,-328145741.2,33001200.0,5262534400.0,1082952000.0,331593814.8,1790800648.4,10175548000.0,8757600.0,10410330000.0,7632248.4,326680623.2,-1103.6,292802524.0,452712063.6,-8913207.6,,,292802524.0,305728278.8,1272308.4,-106800.0,-207460744.4,,,1003314800.0,249685121.2,397224800.0,711288000.0,1506986163.2,,33001200.0,34613096.8,980632900.8,1161200800.0,78493443.2,35600000.0,964831200.0,,211713022.0,3205388400.0,61410000.0,5332524000.0,326680623.2,-2064622.0,518514000.0,54503.6,13102508.8,-199829599.6,693808400.0,518514000.0,4233089200.0,2761634400.0,555039600.0,18020008000.0,2606738800.0,111534800.0,-339575334.8,"Chunghwa Telecom Co., Ltd.",TWD,Communication Services,Telecom Services,,
2412.TW,2021-03-31,363227532.8,640924416.0,7709011.2,3112130313.6000004,,11783164.8,398476249.6,13578998012.800001,77394873.60000001,1763555024.0,83338041.60000001,56320000.0,-255424329.60000002,-5370358.4,4824798668.8,1057545632.0000001,331060153.6,1372787785.6000001,10458006838.400002,8669056.0,10240237920.0,1552883.2000000002,390767238.40000004,-1175805488.0,309934028.8,-13226224.0,46215030.400000006,,,309934028.8,321081376.0,-110287900.80000001,-105600.0,-106498092.80000001,,,938858905.6,217809433.60000002,411268035.20000005,703335001.6,1122630608.0,,-5370358.4,30814115.200000003,347610736.0,1183683212.8,963740.8,33850678.4,944969132.8000001,,-217359296.0,3112322118.4,51386262.400000006,6028948534.400001,390767238.40000004,-1785555.2000000002,507696182.40000004,-467420.80000000005,-216359897.60000002,-104945209.60000001,685571462.4000001,410513558.40000004,3838576051.2000003,2730621168.0,341080748.8,17828842099.2,2237681776.0,108190825.60000001,-156402118.4,"Chunghwa Telecom Co., Ltd.",TWD,Communication Services,Telecom Services,,
