ticker,date,shortTermInvestments,grossProfit,totalOtherIncomeExpenseNet,totalCurrentAssets,effectOfAccountingCharges,otherCashflowsFromInvestingActivities,incomeBeforeTax,totalStockholderEquity,incomeTaxExpense,totalRevenue,changeToNetincome,shortLongTermDebt,totalCashflowsFromInvestingActivities,treasuryStock,retainedEarnings,cash,depreciation,totalOperatingExpenses,netTangibleAssets,goodWill,propertyPlantEquipment,otherCashflowsFromFinancingActivities,operatingIncome,dividendsPaid,netIncome,changeInCash,changeToAccountReceivables,repurchaseOfStock,issuanceOfStock,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,investments,otherOperatingExpenses,netBorrowings,extraordinaryItems,nonRecurring,netReceivables,sellingGeneralAdministrative,minorityInterest,longTermDebt,costOfRevenue,discontinuedOperations,otherStockholderEquity,researchDevelopment,totalCashFromOperatingActivities,otherCurrentLiab,changeToInventory,deferredLongTermLiab,otherAssets,otherItems,changeToOperatingActivities,intangibleAssets,otherCurrentAssets,capitalSurplus,ebit,interestExpense,inventory,effectOfExchangeRate,changeToLiabilities,totalCashFromFinancingActivities,otherLiab,longTermInvestments,totalLiab,commonStock,accountsPayable,totalAssets,totalCurrentLiabilities,deferredLongTermAssetCharges,capitalExpenditures,name,currency,sector,subsector,longitude,latitude
005490.KS,2020-12-31,11609885181000.0,1464588543420,-274437599000,35797539056680.0,,-77761457320.0,518380779220,44331350426990.0,-216199715550,15264210915700,281163281790.0,3483134000000.0,-1744300676110.0,-3573057249760.0,46111457267940.0,4754643963050.0,936138798110.0,14471392537480,40109029363990.0,903893000000.0,29400141331760.0,-268379148450.0,792818378220,-118435538800.0,701015621310,-2013540968470.0,697054000000.0,-553542579500.0,,699334415830,734580494770,-536552240630.0,15888000000.0,-2220827802490.0,,,9513958619000.0,494615607200.0,3343241658090.0,11820077693000.0,13799622372280,,-1181534490480.0,37919000000.0,2698563840880.0,3406850184040.0,-308730000000.0,227111000000.0,5753098607130.0,,-347956860000.0,3318428063000.0,685275890620.0,1310547283810.0,792818378220,-133000000000.0,9051790403010.0,-85199789670.0,739879000000.0,-2882604343590.0,2242208025800.0,3913873167810.0,31412381141300.0,482403125000.0,3755512911460.0,79086973226380.0,16854968422500.0,1335154440410.0,-1021627285350.0,POSCO Holdings Inc.,KRW,Basic Materials,Steel,,
005490.KS,2021-03-31,12937925764000.0,2134164203960,13724007620,39395057916490.0,,556812630.0,1559558926800,45262152642310.0,420780100480,16068722906870,530194272450.0,3245179000000.0,-1884219184140.0,-3361697873570.0,46784409297000.0,4546138252760.0,899098873380.0,14522887987690,41088958971310.0,905135000000.0,29471590618830.0,588202165700.0,1545834919180,-1567322910.0,1024735684350,-208505710300.0,-799397000000.0,-116771042500.0,,1024735684350,1138778826320,-1393902401780.0,21759000000.0,582166259790.0,,,10600829662000.0,469504599780.0,3953318011590.0,12425770877000.0,13934558702910,,-853404071790.0,32342000000.0,570868478210.0,4328843033000.0,-1105301000000.0,175478000000.0,4218233684310.0,,88539650000.0,3268058671000.0,702385624710.0,1357038093880.0,1545834919180,-129317000000.0,10253346613020.0,52814935550.0,-67002000000.0,1052030060080.0,2266169639350.0,5564538206890.0,33607143443630.0,482403125000.0,3807052022280.0,82822614097520.0,18289088927280.0,1356920530860.0,-537877972900.0,POSCO Holdings Inc.,KRW,Basic Materials,Steel,,
005490.KS,2021-06-30,12660533590000.0,2819332425070,203392477220,40160509888160.0,,59257296880.0,2397838640960,46756521910160.0,590666618320,18292466348600,513700065680.0,2270576000000.0,-316116713970.0,-3302797922480.0,48220728455000.0,4022137264370.0,878430854150.0,16098020184860,42598285743160.0,905041000000.0,29334214582610.0,31811103630.0,2194446163740,-627675574470.0,1664343792740,-524000988380.0,-399007000000.0,,,1661036202740,1807172022640,286944120280.0,25043000000.0,-1270201603360.0,,,11105870671000.0,510960052330.0,4098758730200.0,11942638009000.0,15473133923530,,-794504120700.0,28030000000.0,1644242063330.0,4278911183810.0,-1215328000000.0,160039000000.0,5900277863910.0,,-314402650000.0,3253195167000.0,662618389570.0,1356188252640.0,2194446163740,-106295000000.0,11426741973220.0,13939736460.0,516505000000.0,-1866066074200.0,2293535147650.0,3916362210210.0,32614320071530.0,482403125000.0,4144616263070.0,83469600711890.0,17744269914880.0,1353661013470.0,-687307713740.0,POSCO Holdings Inc.,KRW,Basic Materials,Steel,,
005490.KS,2021-09-30,13087367598000.0,3773785149600,245691202040,45694290971860.0,,280436940.0,3359413113010,49171490806370.0,731794274850,20636882442640,833323640070.0,2774742000000.0,-1839889403770.0,-3013905607310.0,50348460665000.0,5480044599760.0,889118001250.0,17523160531670,45012057406370.0,906889000000.0,29414127944410.0,18509164600.0,3113721910970,-304786319210.0,2429720198710,1457907335380.0,-830428000000.0,,,2428038993710,2627618838160,-864088803950.0,15638000000.0,1925437175020.0,,,12310723793000.0,545787147630.0,4349822864860.0,14338622024000.0,16863097293040,,-505611805530.0,23362000000.0,1593015425530.0,4739531229720.0,-2217110000000.0,145564000000.0,6381388600590.0,,-192614416000.0,3252544400000.0,795950784480.0,1354532623680.0,3113721910970,-88547000000.0,13809620196620.0,65621293210.0,681006000000.0,1639160020410.0,2248774076500.0,4485816195260.0,36613743440890.0,482403125000.0,5216238295670.0,90135057112120.0,19405275340390.0,1410322253000.0,-773069680860.0,POSCO Holdings Inc.,KRW,Basic Materials,Steel,,
2330.TW,2020-12-31,139587181000.0,195188826000,3987187000,1092185308000.0,,-122750000.0,161107361000,1849657256000.0,18282837000,361533057000,14622690000.0,2601169000.0,-90958613000.0,-54679873000.0,1588686081000.0,660170647000.0,96652825000.0,204412883000,1823889077000.0,5436602000.0,1583317502000.0,-71155000.0,157120174000,-64825952000.0,142766434000,55975534000.0,16539740000.0,,,142766434000,142824524000,-1523720000.0,-252787000.0,-36306688000.0,,,146089048000.0,8381027000.0,964743000.0,256072695000.0,166344231000,,-54679873000.0,29940412000.0,259130584000.0,388514557000.0,-27843921000.0,,31712208000.0,,16521734000.0,20331577000.0,8984978000.0,56347243000.0,157120174000,-768582000.0,137353407000.0,-10992642000.0,75073000.0,-101203795000.0,16305014000.0,27728208000.0,910089406000.0,259303805000.0,41095002000.0,2760711405000.0,617151048000.0,25958184000.0,-88675011000.0,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,,
2330.TW,2021-03-31,146846740000.0,189775219000,4251811000,1139786823000.0,,731878000.0,155064389000,1938936396000.0,15325640000,362410230000,8143590000.0,,-244251414000.0,-48392823000.0,1663271807000.0,664727857000.0,99936702000.0,211597652000,1913923708000.0,5492275000.0,1690833602000.0,8744892000.0,150812578000,-64825951000.0,139690493000,4557210000.0,-21440514000.0,,,139690493000,139738749000,3568226000.0,-149192000.0,70699516000.0,,,167531499000.0,8355475000.0,2060566000.0,279462127000.0,172635011000,,-48392823000.0,30756358000.0,227815706000.0,340049568000.0,-17214161000.0,,34367898000.0,,16140368000.0,19520413000.0,6048810000.0,64753607000.0,150812578000,-772095000.0,154567568000.0,6374461000.0,-2334169000.0,14618457000.0,15948996000.0,29130450000.0,978134499000.0,259303805000.0,38580760000.0,2919131461000.0,661648612000.0,31254225000.0,-248028725000.0,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,,
2330.TW,2021-06-30,134980000000.0,186234135000,3723870000,1241104000000.0,,620122000.0,149391075000,1979870900000.0,14909359000,372145122000,-46291990000.0,10200000.0,-169750986000.0,-58594000000.0,1714407300000.0,747982100000.0,102700298000.0,226477917000,1953335800000.0,5408400000.0,1755298400000.0,-502192000.0,145667205000,-64825949000.0,134358942000,83254290000.0,-10780986000.0,,,134358942000,134481716000,83874000.0,-16493000.0,140358784000.0,,,179971600000.0,9710047000.0,2164000000.0,413636200000.0,185910987000,,-58594000000.0,30873376000.0,187439494000.0,325981700000.0,-15871139000.0,,40814200000.0,,16249932000.0,21126700000.0,7731300000.0,64753800000.0,145667205000,-1134399000.0,170438700000.0,-9464861000.0,3072669000.0,75030643000.0,16429000000.0,28937100000.0,1110653900000.0,259303800000.0,41230000000.0,3092688800000.0,659558300000.0,36180400000.0,-166971075000.0,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,,
2330.TW,2021-09-30,135681543000.0,212848684000,2848091000,1370639169000.0,,3947206000.0,173851639000,2076020062000.0,17372485000,414670379000,-13734072000.0,,-177020171000.0,-59304212000.0,1811273605000.0,853811966000.0,105868551000.0,243666831000,2050376148000.0,5404964000.0,1861855662000.0,-1557343000.0,171003548000,-64825953000.0,156258287000,105829819000.0,-8908313000.0,,,156258287000,156479154000,9129661000.0,195220000.0,31058616000.0,,,187241314000.0,10783282000.0,2300248000.0,463205638000.0,201821695000,,-59304212000.0,30866634000.0,318706205000.0,356388152000.0,-11795045000.0,,46442588000.0,,91180205000.0,20238950000.0,11632825000.0,64746864000.0,171003548000,-1334063000.0,182233752000.0,-531535000.0,2007449000.0,-35324680000.0,114111503000.0,27730551000.0,1253991574000.0,259303805000.0,43888861000.0,3332311884000.0,655621450000.0,41925391000.0,-188639899000.0,Taiwan Semiconductor Manufacturing Company Limited,TWD,Technology,Semiconductors,,
2412.TW,2020-12-31,4596000000.0,17148739000,1229669000,81803000000.0,,-53987000.0,10406091000,376115000000.0,1818218000,59479811000,1455594000.0,1600000000.0,-9217577000.0,927000000.0,147824000000.0,30420000000.0,9314433000.0,50303389000,285830000000.0,246000000.0,292425000000.0,214389000.0,9176422000,-31000.0,8224790000,12716631000.0,-250371000.0,,,8224790000,8587873000,35739000.0,-3000000.0,-5827549000.0,,,28183000000.0,7013627000.0,11158000000.0,19980000000.0,42331072000,,927000000.0,972278000.0,27545868000.0,32618000000.0,2204872000.0,1000000000.0,27102000000.0,,5946995000.0,90039000000.0,1725000000.0,149790000000.0,9176422000,-57995000.0,14565000000.0,1531000.0,368048000.0,-5613191000.0,19489000000.0,14565000000.0,118907000000.0,77574000000.0,15591000000.0,506180000000.0,73223000000.0,3133000000.0,-9538633000.0,"Chunghwa Telecom Co., Ltd.",TWD,Communication Services,Telecom Services,,
2412.TW,2021-03-31,10318964000.0,18208080000,219006000,88412793000.0,,334749000.0,11320348000,385766989000.0,2198718000,50100995000,2367558000.0,1600000000.0,-7256373000.0,-152567000.0,137068144000.0,30043910000.0,9405118000.0,38999653000,297102467000.0,246280000.0,290915850000.0,44116000.0,11101342000,-33403565000.0,8804944000,-375745000.0,1312927000.0,,,8804944000,9121630000,-3133179000.0,-3000000.0,-3025514000.0,,,26672128000.0,6187768000.0,11683751000.0,19981108000.0,31892915000,,-152567000.0,875401000.0,9875305000.0,33627364000.0,27379000.0,961667000.0,26845714000.0,,-6174980000.0,88418242000.0,1459837000.0,171276947000.0,11101342000,-50726000.0,14423187000.0,-13279000.0,-6146588000.0,-2981398000.0,19476462000.0,11662317000.0,109050456000.0,77574465000.0,9689794000.0,506501196000.0,63570505000.0,3073603000.0,-4443242000.0,"Chunghwa Telecom Co., Ltd.",TWD,Communication Services,Telecom Services,,
