,ticker
0,AIR
1,ABBN
2,ABT
3,AYI
4,AAP
5,WMS
6,AMD
7,AGCO
8,A
9,APD
10,ALB
11,AA
12,ALC
13,AQN
14,BABA
15,ALKS
16,GOOG.L
17,AIMC
18,ABEV3
19,AAL
20,AME
21,AMKR
22,APH
23,ADI
24,ANG
25,AMAT
26,APTV
27,MT
28,ADM
29,ARNC
30,ACA
31,ARRY
32,ARW
33,ASH
34,ATKR
35,ATO
36,AZO
37,AGR
38,AVT
39,BKR
40,ABX
41,BBWI
42,BAX
43,BECN
44,BDX
45,BRBR
46,BRK.A
47,BBY
48,BIO
49,BIIB
50,BCC
51,BWA
52,BSX
53,BP.
54,BRKM5
55,BATS
56,BF.B
57,BC
58,CLMT
59,CCO
60,CNR
61,CNQ
62,7751
63,WEED
64,CSL
65,CRS
66,CTLT
67,CLS
68,CPACASC1
69,CVE
70,CENX
71,CCS
72,CF
73,CHX
74,CRL
75,CVX
76,386
77,2412
78,CHD
79,CIEN
80,CTAS
81,CSCO
82,KOF
83,CDE
84,COHR
85,COHU
86,CFX
87,CMCO
88,CMC
89,CYH
90,CCU
91,COP
92,STZ
93,CSTM
94,GLW
95,CRSR
96,CTVA
97,COST
98,CR
99,CRG
100,CMI
101,DHI
102,DHR
103,DAR
104,XRAY
105,DBD
106,DDS
107,DOLE
108,DOV
109,DD
110,EXP
111,EMN
112,KODK
113,ETN
114,ECOPETROL
115,EPC
116,EW
117,ELAN
118,ELD
119,ESI
120,EBS
121,EMR
122,ENDP
123,ENELAM
124,ENS
125,ENI
126,NPO
127,ENTG
128,EOG
129,XOM
130,FERG
131,FCFS
132,FISV
133,FPH
134,FLO
135,FEMSA UBD
136,FTNT
137,FTV
138,FBHS
139,FET
140,FCX
141,FME
142,GIII
143,GTX
144,GD
145,GGBR4
146,GLT
147,GFI
148,EAF
149,GHC
150,HLF
151,HPE
152,HXL
153,HFC
154,HOLX
155,7267
156,HZNP
157,HRL
158,HPQ
159,HUBB
160,HBM
161,HII
162,HUN
163,HY
164,IMG
165,IEP
166,ICL
167,ICUI
168,IEX
169,IIVI
170,ILMN
171,IMO
172,IR
173,IMKT.A
174,INGR
175,ITGR
176,INTC
177,IFF
178,ITT
179,JD
180,JNJ
181,JCI
182,JNPR
183,KAMN
184,KBH
185,KMT
186,KDP
187,KEY
188,KEYS
189,K
190,KEX
191,PHIA
192,KRO
193,A030200
194,LHX
195,LH
196,LRCX
197,LCI
198,LEA
199,LEN
200,LII
201,LGIH
202,LIN
203,LKQ
204,LPX
205,LYLT
206,LITE
207,MDC
208,MHO
209,MG
210,MLM
211,MRVL
212,MDU
213,MDT
214,MTH
215,MU
216,MSFT
217,MLKN
218,MTX
219,MIR
220,MKSI
221,MHK
222,TAP
223,MDLZ
224,MOG.A
225,MSI
226,MWA
227,NTCO3
228,NP
229,NEU
230,NEM
231,NWSA
232,NKE
233,NOKIA
234,NOMD
235,NSC
236,NOV
237,NOVN
238,NOVO B
239,NUE
240,NTR
241,NVT
242,NVDA
243,NVR
244,NXPI
245,OGE
246,OGS
247,OGN
248,OCDX
249,OSK
250,OTIS
251,OC
252,PKG
253,PAMP
254,PH
255,PPL
256,PNR
257,PKI
258,PRGO
259,PFE
260,PM
261,PSX
262,PPC
263,PXD
264,POLY
265,A005490
266,PHM
267,QRVO
268,DGX
269,RRD
270,RTX
271,ROLL
272,REGN
273,RS
274,REGI
275,REZI
276,RFP
277,REV
278,ROP
279,RDSA
280,SANM
281,SAN
282,SOL
283,SWM
284,SGMS
285,SRE
286,SSW
287,SIG
288,SITE
289,A017670
290,SWKS
291,SN.
292,SNA
293,SQM
294,6758
295,FLOW
296,SWK
297,SBUX
298,STLD
299,SCS
300,STLA
301,STE
302,STM
303,SU
304,SOY
305,SLVM
306,2330
307,4502
308,TMHC
309,SNX
310,TEL
311,TECK.B
312,TDY
313,TFX
314,ERIC B
315,TDS
316,TNC
317,TSLA
318,TXN
319,TXT
320,BA
321,GBX
322,SJM
323,KHC
324,MTW
325,MOS
326,PG
327,TKR
328,TTC
329,DIS
330,TMO
331,THO
332,TOL
333,BLD
334,TTE
335,TT
336,RIG
337,TNL
338,TPH
339,TRS
340,TRMB
341,TGI
342,TTMI
343,TUP
344,TSN
345,UCTT
346,USM
347,UVV
348,UHS
349,VALE3
350,VLO
351,VMI
352,VREX
353,VSAT
354,VIPS
355,VSH
356,VSTO
357,VMC
358,WMT
359,HCC
360,WEBR
361,WFG
362,WDC
363,WAB
364,WLK
365,WRK
366,WY
367,FREE
368,WGO
369,WOR
370,XRX
371,YRI
372,ZBRA
373,ZBH
374,ZWS
